recipe_id,line_no,raw_line,qty,unit,name_raw,state,dry_fresh,parse_status
1,1,1 cup Ada,1,cup,Ada,,,auto
1,2,2 liter Milk - full cream,2,liter,Milk,full cream,,reviewed
1,3,3/4 cup Sugar,3/4,cup,Sugar,,,auto
1,4,1 tablespoon Ghee,1,tablespoon,Ghee,,,auto
1,5,1/2 teaspoon Cardamom Powder (Elaichi),1/2,teaspoon,Cardamom Powder (Elaichi),,,auto
2,1,1-1/2 cups Curd (Dahi / Yogurt) - thick,1-1/2,cup,Curd (Dahi / Yogurt),thick,,reviewed
2,2,1/2 cup Fresh coconut,1/2,cup,Fresh coconut,,Fresh,auto
2,3,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed,1,cup,Vellai Poosanikai (Ash gourd/White Pumpkin),cubed,,auto
2,4,4 Green Chillies,4,,Green Chillies,,,auto
2,5,1/4 teaspoon Black pepper powder,1/4,teaspoon,Black pepper powder,,,auto
2,6,1/3 cup Water,1/3,cup,Water,,,auto
2,7,1/4 teaspoon Turmeric powder (Haldi),1/4,teaspoon,Turmeric powder (Haldi),,,auto
2,8,Salt - as per your taste,nan,,Salt,,,reviewed
2,9,1 teaspoon Coconut Oil,1,teaspoon,Coconut Oil,,,auto
2,10,1/4 teaspoon Mustard seeds,1/4,teaspoon,Mustard seeds,,,auto
2,11,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/4,teaspoon,Methi Seeds (Fenugreek Seeds),,,auto
2,12,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
2,13,1 Dry Red Chilli,1,,Dry Red Chilli,,Dry,auto
3,1,1/2 cup raw banana - chopped,1/2,cup,raw banana,chopped,,auto
3,2,1/2 cup suran - chopped,1/2,cup,suran,chopped,,auto
3,3,1/2 cup black gram,1/2,cup,black gram,,,reviewed
3,4,1/2 teaspoon turmeric powder,1/2,teaspoon,turmeric powder,,,auto
3,5,1/2 teaspoon red chili powder,1/2,teaspoon,red chili powder,,,auto
3,6,salt - as per taste,nan,,salt,,,reviewed
3,7,1/2 2 tsp cumin seeds,2,teaspoon,Cumin seeds,,,reviewed
3,8,1 cup coconut - grated,1,cup,coconut,grated,,auto
3,9,1/4 tsp whole black pepper,1/4,teaspoon,whole black pepper,,,auto
3,10,3 cloves garlic,3,clove,garlic,,,auto
3,11,1 green chili,1,,green chili,,,auto
3,12,1 tsp oil,1,teaspoon,oil,,,auto
3,13,1/2 tsp mustard,1/2,teaspoon,mustard,,,auto
4,1,2 Sweet Potatoes - medium size,2,,Sweet Potatoes,medium,,reviewed
4,2,1 Onion,1,,Onion,,,auto
4,3,1/2 teaspoon Rasam Powder,1/2,teaspoon,Rasam Powder,,,auto
4,4,Turmeric powder (Haldi) - a pinch,1,pinch,Turmeric powder (Haldi),,,reviewed
4,5,Asafoetida (hing) - a pinch,1,pinch,Asafoetida (hing),,,reviewed
4,6,Salt - to taste,nan,,Salt,,,reviewed
4,7,2 teaspoons Sunflower Oil,2,teaspoon,Sunflower Oil,,,auto
4,8,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,,,auto
4,9,1 teaspoon White Urad Dal (Split),1,teaspoon,White Urad Dal (Split),,,auto
4,10,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
5,1,2 Banana flower (Vazhaipoo) - ripe,2,,Banana flower (Vazhaipoo),ripe,,reviewed
5,2,1 cup Coconut milk - thick,1,cup,Coconut milk,thick,,reviewed
5,3,3 cups Coconut milk - thin,3,cup,Coconut milk,thin,,reviewed
5,4,1/2 cup Rice - raw,1/2,cup,Rice,raw,,auto
5,5,1/2 cup Chana dal (Bengal Gram Dal),1/2,cup,Chana dal (Bengal Gram Dal),,,auto
5,6,1/4 Onion,1/4,,Onion,,,auto
5,7,2 Cardamom (Elaichi) Pods/Seeds,2,,Cardamom (Elaichi) Pods/Seeds,pods,,reviewed
5,8,1 cup Sugar,1,cup,Sugar,,,auto
5,9,3/4 teaspoon Salt - and some more for cooking the chana dal,3/4,teaspoon,Salt,,,reviewed
5,10,Water - as required,nan,,Water,,,reviewed
6,1,500 grams Bhindi (Lady Finger/Okra) - slit into half and cut into 1 inch pieces,500,gram,Bhindi (Lady Finger/Okra),slit into half and cut into 1 inch pieces,,auto
6,2,10 Pearl onions (Sambar Onions) - finely chopped,10,,Pearl onions (Sambar Onions),finely chopped,,auto
6,3,1/4 cup Fresh coconut - grated,1/4,cup,Fresh coconut,grated,Fresh,auto
6,4,2 Green Chillies - finely chopped,2,,Green Chillies,finely chopped,,auto
6,5,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
6,6,1/2 teaspoon Mustard seeds,1/2,teaspoon,Mustard seeds,,,auto
6,7,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
6,8,Salt - to taste,nan,,Salt,,,reviewed
6,9,Sunflower Oil - for cooking,nan,,Sunflower Oil,,,reviewed
7,1,500 grams Bhindi (Lady Finger/Okra) - cut into 1 inch pieces,500,gram,Bhindi (Lady Finger/Okra),cut into 1 inch pieces,,auto
7,2,1 Onion - big,1,,Onion,big,,reviewed
7,3,1 Green Chilli - slit,1,,Green Chilli,slit,,auto
7,4,1 cup Coconut milk - thick,1,cup,Coconut milk,thick,,reviewed
7,5,2 teaspoons Ginger - grated,2,teaspoon,Ginger,grated,,auto
7,6,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,,,auto
7,7,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
7,8,1 tablespoon Coconut Oil,1,tablespoon,Coconut Oil,,,auto
7,9,Salt - to taste,nan,,Salt,,,reviewed
8,1,1 Carrot (Gajjar) - finely chopped,1,,Carrot (Gajjar),finely chopped,,auto
8,2,1 Brinjal (Baingan / Eggplant) - finely chopped,1,,Brinjal (Baingan / Eggplant),finely chopped,,auto
8,3,1 Potato (Aloo) - finely diced,1,,Potato (Aloo),finely diced,,auto
8,4,1 Elephant yam (Suran/Senai/Ratalu) - finely diced,1,,Elephant yam (Suran/Senai/Ratalu),finely diced,,auto
8,5,6 Green beans (French Beans) - cut into 1 inch pieces,6,,Green beans (French Beans),cut into 1 inch pieces,,auto
8,6,1 Mango (Raw) - cut into 1 inch lengthwise,1,,Mango (Raw),cut into 1 inch lengthwise,,auto
