norm_key,generic_name,n_lines,chosen_ifct_code,hierarchical,rank_found,fallback_code,fallback_source,reviewer_notes
salt,Salt,135,,,absent,LOC001,LOCAL,gather from USDA
curry leaves,Curry leaves,113,G010,N,1,,,
turmeric powder haldi,Turmeric powder (Haldi),82,G033,N,1,,,
fresh coconut,Fresh coconut,81,H007,N,1,,,
coconut oil,Coconut Oil,72,T001,N,1,,,
green chilli,Green Chillies,70,G008,N,8,,,
mustard seed,Mustard seeds,60,H013,N,1,,,
garlic,Garlic,52,G013,N,3,,,
onion,Onion,48,G017,N,2,,,"Check normalization for ""small"" onion"
ginger,Ginger,42,G014,N,1,,,
cumin seed jeera,Cumin seeds (Jeera),41,G025,N,1,,,
dry red chilli,Dry Red Chillies,41,G022,N,1,,,
red chilli powder,Red Chilli powder,37,G022,N,1,,,"G022 is the whole/raw chilli entry, not a powder-specific row"
sunflower oil,Sunflower Oil,30,T012,N,1,,,
tomato,Tomato,29,D075,Y,2,,,default to hybrid
water,Water,29,,,absent,LOC002,LOCAL,Zero macro count (USDA?)
coconut milk,Coconut milk,23,,,absent,,,gather from USDA
black pepper powder,Black pepper powder,21,G031,N,1,,,Whole peppercorn is not powder-specific; flag for future conisderation
ghee,Ghee,18,T013,N,1,,,
pearl onion sambar onion,Pearl onions (Sambar Onions),17,G018,N,3,,,pearl/sambar liekly refers to small onions 
jaggery,Jaggery,16,I001,N,1,,,
shallot,Shallots,16,,,absent,,,gather from USDA/use small onion
sugar,Sugar,16,I001,N,miss,,,could substitute for jaggery
cinnamon stick dalchini,Cinnamon Stick (Dalchini),15,,,absent,,,gather from USDA
coriander dhania leaves,Coriander (Dhania) Leaves,15,G009,N,1,,,
cardamom elaichi pod seed,Cardamom (Elaichi) Pods/Seeds,14,G020,Y,1,,,default to green cardamom (likely more common)
coriander powder dhania,Coriander Powder (Dhania),14,G024,N,2,,,"powder = ground seed, not leaf "
cashew nut,Cashew nuts,13,H005,N,1,,,
white urad dal split,White Urad Dal (Split),13,B003,N,miss,,,urad dal = black gram
