name_raw,n_occurrences,sample_raw_lines,dry_fresh_seen,primary_key
Salt,119,Salt - as per your taste; Salt - to taste; 3/4 teaspoon Salt - and some more for cooking the chana dal,,salt
Red Chilli powder,31,2 teaspoons Red Chilli powder; 1 teaspoon Red Chilli powder; 2 teaspoons Red Chilli powder,,red chilli powder
Dry Red Chillies,27,2 Dry Red Chillies; 6 Dry Red Chillies; 2 Dry Red Chillies,Dry,dry red chilli
Black pepper powder,19,1/4 teaspoon Black pepper powder; 1 teaspoon Black pepper powder; 1/2 teaspoon Black pepper powder,,black pepper powder
Coconut milk,19,1 cup Coconut milk - thick; 3 cups Coconut milk - thin; 1 cup Coconut milk - thick,,coconut milk
Shallots,18,4 to 5 Shallots; 1-1/2 cups Hung Curd (Greek Yogurt); 2 Shallots - finely chopped,,shallot
Pearl onions (Sambar Onions),17,10 Pearl onions (Sambar Onions) - finely chopped; 1 cup Pearl onions (Sambar Onions); 8 Pearl onions (Sambar Onions) - sliced,,pearl onion
salt,16,salt - as per taste; salt - as per taste; salt - as per taste,,salt
Coriander (Dhania) Leaves,15,2 sprig Coriander (Dhania) Leaves - washed and finely chopped; 6 sprig Coriander (Dhania) Leaves; 3 sprig Coriander (Dhania) Leaves - finely chopped (optional),,coriander dhania leaves
Coriander Powder (Dhania),13,1 tablespoon Coriander Powder (Dhania); 1/2 tablespoon Coriander Powder (Dhania); 1 tablespoon Coriander Powder (Dhania),,coriander powder
Fennel seeds (Saunf),13,1 teaspoon Fennel seeds (Saunf); 1/2 teaspoon Fennel seeds (Saunf) - in case you don't have fennel seeds you could use cumin seeds; 1 teaspoon Fennel seeds (Saunf),,fennel seed
White Urad Dal (Split),12,1 teaspoon White Urad Dal (Split); 1 teaspoon White Urad Dal (Split); 1 tablespoon White Urad Dal (Split),,white urad dal
Whole Black Peppercorns,12,1 tablespoon Whole Black Peppercorns; 1 teaspoon Whole Black Peppercorns; 1 tablespoon Whole Black Peppercorns,,whole black peppercorn
Cinnamon Stick (Dalchini),12,1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini); 1 inch Cinnamon Stick (Dalchini),,cinnamon stick
Cardamom Powder (Elaichi),10,1/2 teaspoon Cardamom Powder (Elaichi); 1 teaspoon Cardamom Powder (Elaichi); 2 Cardamom Powder (Elaichi) - powdered,,cardamom powder
Coriander (Dhania) Seeds,10,1 teaspoon Coriander (Dhania) Seeds; 2 tablespoons Coriander (Dhania) Seeds; 1 teaspoon Coriander (Dhania) Seeds,,coriander dhania seed
