recipe_id,line_no,raw_line,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,flag_name_disagree,flag_qty_disagree,flag_unit_disagree,corrected_name,corrected_qty,corrected_unit
1,2,2 liter Milk - full cream,Milk,Milk; full cream,2,2,liter,liter,TRUE,FALSE,FALSE,Milk,2    ,liter
2,1,1-1/2 cups Curd (Dahi / Yogurt) - thick,Curd (Dahi / Yogurt),Curd (Dahi / Yogurt),1/1/2002,2-Jan,cups,cup,FALSE,TRUE,FALSE,Curd (Dahi / Yogurt),1 1/2,cups
3,3,1/2 cup black gram,black gram,black grams,2-Jan,2-Jan,cup,cup,TRUE,FALSE,FALSE,black gram, 1/2,cup
4,4,Turmeric powder (Haldi) - a pinch,Turmeric powder (Haldi),Turmeric powder (Haldi),,1,,pinch,FALSE,TRUE,TRUE,Turmeric powder (Haldi),1    ,pinch
4,5,Asafoetida (hing) - a pinch,Asafoetida (hing),Asafoetida (hing),,1,,pinch,FALSE,TRUE,TRUE,Asafoetida (hing) - a pinch,1    ,pinch
5,1,2 Banana flower (Vazhaipoo) - ripe,Banana flower (Vazhaipoo),Banana flower (Vazhaipoo) - ripe,2,2,,,TRUE,FALSE,FALSE,Banana flower (Vazhaipoo),2    ,
5,7,2 Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,2,2,,Pods,FALSE,FALSE,TRUE,Cardamom (Elaichi) Pods/Seeds,2    ,
8,9,1 tablespoon Ginger - juliennes,Ginger,Ginger - juliennes,1,1,tablespoon,tablespoon,TRUE,FALSE,FALSE,Ginger,1    ,tablespoons
9,1,2 Seer fish - slices,Seer fish,Seer fish,2,2,,slices,FALSE,FALSE,TRUE,Seer fish,2    ,
9,7,1 inch Ginger,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
9,10,1 inch Cinnamon Stick (Dalchini),Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,TRUE,TRUE,TRUE,Cinnamon,1    ,inch
9,11,2 Cloves (Laung),(Laung),Cloves,2,2,Cloves,,TRUE,FALSE,TRUE,Cloves (Laung),2    ,
10,3,4 to 5 Shallots,Shallots,Shallots,4to5,4,,,FALSE,TRUE,FALSE,Shallots,4    ,
10,5,1-1/2 cups Hung Curd (Greek Yogurt),Hung Curd (Greek Yogurt),Hung Curd (Greek Yogurt),1/1/2002,2-Jan,cups,cup,FALSE,TRUE,FALSE,Shallots,4-5,
11,3,1 cup coconut - tighten,coconut,coconut - tighten,1,1,cup,cup,TRUE,FALSE,FALSE,coconut,1    ,cup
11,4,1 tsp active dry yeast - + 1/2 cup lukewarm water,active dry yeast,active dry yeast; water,1,1,tsp,teaspoon,TRUE,FALSE,FALSE,active dry yeast,1    ,tsp
12,1,1-1/2 cups Milk,Milk,Milk,1/1/2002,2-Jan,cups,cup,FALSE,TRUE,FALSE,Milk,1 1/2,cups
14,1,500 Chicken - medium sized pieces,Chicken,Chicken; sized pieces,500,500,,,TRUE,FALSE,FALSE,Chicken,500    ,g
14,3,1 inch Ginger - grated,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
14,9,1/2 cup Coconut milk - or grated fresh coconut,Coconut milk,Coconut milk; fresh coconut,2-Jan,2-Jan,cup,cup,TRUE,FALSE,FALSE,Coconut Milk, 1/2,cup
14,12,1 inch Cinnamon Stick (Dalchini),Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,TRUE,TRUE,TRUE,Cinnamon,1    ,inch
15,1,1 cup Mixed vegetables - (french beans,Mixed vegetables,Mixed vegetables - french beans,1,1,cup,cup,TRUE,FALSE,FALSE,Mixed Vegetables - french beans,1    ,cup
15,10,1 inch Cinnamon Stick (Dalchini),Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,TRUE,TRUE,TRUE,Cinnamon,1    ,inch
15,13,Asafoetida (hing) - A pinch,Asafoetida (hing),Asafoetida (hing),,1,,pinch,FALSE,TRUE,TRUE,Asafoetida (hing),1    ,pinch
16,3,1 tamarind - Malabar,tamarind,tamarind - Malabar,1,1,,,TRUE,FALSE,FALSE,tamarind,1    ,
16,5,1/4 cup coconut - scrape,coconut,coconut - scrape,4-Jan,4-Jan,cup,cup,TRUE,FALSE,FALSE,coconut, 1/4,cup
16,12,2 dry red chillies - break,dry red chillies,dry red chillies - break,2,2,,,TRUE,FALSE,FALSE,dry red chilies,2    ,
17,5,1 inch Ginger - chopped,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
20,7,1 Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,,Pod,FALSE,FALSE,TRUE,Cardamom (Elaichi) Pods/Seeds,1    ,
21,5,1/4 cup Gram flour (besan),Gram flour (besan),Grams flour (besan),4-Jan,4-Jan,cup,cup,TRUE,FALSE,FALSE,Gram flour (besan), 1/4,cup
21,8,Salt - Pinch,Salt,Salt,,1,,Pinch,FALSE,TRUE,TRUE,Salt,1    ,pinch
24,2,Tamarind - small lemon sized,Tamarind,Tamarind; lemon sized,,,,,TRUE,FALSE,FALSE,Tamarind,1    ,
24,6,1/4 teaspoon Asafoetida (hing) - powder,Asafoetida (hing),Asafoetida (hing) - powder,4-Jan,4-Jan,teaspoon,teaspoon,TRUE,FALSE,FALSE,Asafoetida (hing) - powder, 1/4,teaspoon
24,11,2-3 Dry Red Chillies,Dry Red Chillies,Dry Red Chillies,3-Feb,2,,,FALSE,TRUE,FALSE,dry red chilies,2-3,
25,9,2-1/2 teaspoons Coriander Powder (Dhania),Coriander Powder (Dhania),Coriander Powder (Dhania),2/1/2002,2-Jan,teaspoons,teaspoon,FALSE,TRUE,FALSE,Coriander Powder (dhania),2 1/2,teaspoons
25,10,1-1/2 teaspoons Kashmiri Red Chilli Powder,Kashmiri Red Chilli Powder,Kashmiri Red Chilli Powder,1/1/2002,2-Jan,teaspoons,teaspoon,FALSE,TRUE,FALSE,Kashmiri Red Chili Powder,1 1/2,teaspoons
26,2,1 Tamarind - malabar,Tamarind,Tamarind - malabar,1,1,,,TRUE,FALSE,FALSE,tamarind,1    ,
27,3,1 cup Curd (Dahi / Yogurt) - or buttermilk,Curd (Dahi / Yogurt),Curd Yogurt; buttermilk,1,1,cup,cup,TRUE,FALSE,FALSE,Curd (Dahi / Yogurt),1    ,cup
27,4,pinch Turmeric powder (Haldi) - to reduce bitter from bitter gourd,Turmeric powder (Haldi),Turmeric powder (Haldi),,1,pinch,pinch,FALSE,TRUE,FALSE,Turmeric powder (Haldi),1    ,pinch
28,6,1 inch Ginger,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
29,11,Tamarind - Gooseberry Sized,Tamarind,Tamarind; Gooseberry Sized,,,,,TRUE,FALSE,FALSE,tamarind,1    ,
32,1,1-1/2 cups Mixed dry fruits - I used apricot,Mixed dry fruits,Mixed dry fruits,1/1/2002,2-Jan,cups,cup,FALSE,TRUE,FALSE,Mixed Dry Fruits - Apricot,1 1/2,cups
32,8,3 Cloves (Laung),(Laung),Cloves,3,3,Cloves,,TRUE,FALSE,TRUE,Cloves (Laung),3    ,
32,9,3 Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,3,3,,Pods,FALSE,FALSE,TRUE,Cardamom (Elaichi) Pods/Seeds,3    ,
32,15,1-1/2 cups Mixed nuts - I used almond,Mixed nuts,Mixed nuts,1/1/2002,2-Jan,cups,cup,FALSE,TRUE,FALSE,Mixed nuts - Almond,1 1/2,cups
33,1,1 Mango (Ripe) - peel & slice,Mango (Ripe),Mango (Ripe) - peel,1,1,,slice,TRUE,FALSE,TRUE,Mango,1    ,
33,9,2 to 3 Dry Red Chilli,Dry Red Chilli,Dry Red Chilli,2to3,2,,,FALSE,TRUE,FALSE,Dry Red Chili,2-3,
34,12,1 inch Ginger - chopped,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
35,5,3 tablespoons Fresh coconut - or dessicated coconut (grated),Fresh coconut,Fresh coconut; dessicated coconut,3,3,tablespoons,tablespoon,TRUE,FALSE,FALSE,Fresh Coconut,3    ,tablespoons
36,3,500 ml Champagne - or Sparkling wine,Champagne,Champagne; Sparkling wine,500,500,ml,milliliter,TRUE,FALSE,FALSE,Champagne,500    ,ml
36,5,1/4 cup Guava - cubes (optional),Guava,Guava - cubes,4-Jan,4-Jan,cup,cup,TRUE,FALSE,FALSE,Guava, 1/4,cup
36,6,1/4 cup Papaya - cubes (optional),Papaya,Papaya - cubes,4-Jan,4-Jan,cup,cup,TRUE,FALSE,FALSE,Papaya, 1/4,cup
37,7,100 ml Rum - or orange juice (adjust),Rum,Rum; orange juice (adjust),100,100,ml,milliliter,TRUE,FALSE,FALSE,Rum,100    ,ml
38,5,1 inch Ginger,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
38,7,1 inch Cinnamon Stick (Dalchini),Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,TRUE,TRUE,TRUE,Cinnamon Stick (Dalchini),1    ,inch
38,8,1 Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,,Pod,FALSE,FALSE,TRUE,Cardamom (Elaichi) Pods/Seeds,1    ,
39,2,2-1 / 2 cups water,water,water,2/1/2002,1,cups,,FALSE,TRUE,TRUE,water,2 1/2,cups
39,6,1-1 / 2 teaspoon red chilli powder,red chilli powder,red chilli powder,1/1/2002,1,teaspoon,,FALSE,TRUE,TRUE,red chili powder,1 1/2,teaspoon
40,1,500 grams Prawns - tiger,Prawns,Prawns - tiger,500,500,grams,gram,TRUE,FALSE,FALSE,Prawns - tiger,500    ,grams
40,8,1-1/2 teaspoon Cumin seeds (Jeera),Cumin seeds (Jeera),Cumin seeds (Jeera),1/1/2002,2-Jan,teaspoon,teaspoon,FALSE,TRUE,FALSE,Cumin seeds (Jeera),1 1/2,teaspoon
40,9,Turmeric powder (Haldi) - a pinch (optional),Turmeric powder (Haldi),Turmeric powder (Haldi),,1,,pinch,FALSE,TRUE,TRUE,Turmeric powder (Haldi),1    ,pinch
