recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,verdict,corrected_name,corrected_qty,corrected_unit,corrected_state
1,2,2 liter Milk - full cream,name;state,Milk,Milk; full cream,2,2,liter,liter,full cream,,,,ok,,,,
2,1,1-1/2 cups Curd (Dahi / Yogurt) - thick,qty,Curd (Dahi / Yogurt),Curd (Dahi / Yogurt),1-1/2,1/2,cups,cup,thick,thick,Dahi,,ok,,,,Dahi
2,8,Salt - as per your taste,state,Salt,Salt,,,,,as per your taste,,as per your taste,,ok,,,,as per your taste
3,3,1/2 cup black gram,name,black gram,black grams,1/2,1/2,cup,cup,,,,,ok,,,,
3,6,salt - as per taste,state,salt,salt,,,,,as per taste,,as per taste,,ok,,,,as per taste
4,1,2 Sweet Potatoes - medium size,state,Sweet Potatoes,Sweet Potatoes,2,2,,,medium size,,,,ok,,,,
4,4,Turmeric powder (Haldi) - a pinch,qty;unit;state,Turmeric powder (Haldi),Turmeric powder (Haldi),,1,,pinch,a pinch,,,,ok,,,,
4,5,Asafoetida (hing) - a pinch,qty;unit;state,Asafoetida (hing),Asafoetida (hing),,1,,pinch,a pinch,,,,ok,,,,
4,6,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
5,1,2 Banana flower (Vazhaipoo) - ripe,name;state,Banana flower (Vazhaipoo),Banana flower (Vazhaipoo) - ripe,2,2,,,ripe,,,,ok,,,,
5,2,1 cup Coconut milk - thick,state,Coconut milk,Coconut milk,1,1,cup,cup,thick,,,,ok,,,,
5,3,3 cups Coconut milk - thin,state,Coconut milk,Coconut milk,3,3,cups,cup,thin,,thin,,ok,,,,thin
5,7,2 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,2,2,,Pods,,,,,ok,,,,
5,9,3/4 teaspoon Salt - and some more for cooking the chana dal,state,Salt,Salt,3/4,3/4,teaspoon,teaspoon,and some more for cooking the chana dal,,and some more,for cooking the chana dal,ok,,,,and some more
5,10,Water - as required,state,Water,Water,,,,,as required,,as required,,ok,,,,as required
6,8,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
6,9,Sunflower Oil - for cooking,state,Sunflower Oil,Sunflower Oil,,,,,for cooking,,,for cooking,ok,,,,
7,2,1 Onion - big,state,Onion,Onion,1,1,,,big,,big,,ok,,,,big
7,4,1 cup Coconut milk - thick,state,Coconut milk,Coconut milk,1,1,cup,cup,thick,,,,ok,,,,
7,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
8,9,1 tablespoon Ginger - juliennes,name;state,Ginger,Ginger - juliennes,1,1,tablespoon,tablespoon,juliennes,,,,ok,,,,
8,15,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
9,1,2 Seer fish - slices,unit;state,Seer fish,Seer fish,2,2,,slices,slices,,,,ok,,,,
9,3,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
9,7,1 inch Ginger,qty;unit,Ginger,Ginger,1,,inch,,,,,,ok,,,,
