recipe_id,line_no,raw_line,modifier_text,ip_state,ip_comment,ip_purpose,corrected_state,corrected_notes,note_to_self
1,2,2 liter Milk - full cream,full cream,,,,,,
2,8,Salt - as per your taste,as per your taste,,as per your taste,,,as per your taste,
3,6,salt - as per taste,as per taste,,as per taste,,,as per taste,
4,1,2 Sweet Potatoes - medium size,medium size,,,,,medium ,size
4,4,Turmeric powder (Haldi) - a pinch,a pinch,,,,,,
4,5,Asafoetida (hing) - a pinch,a pinch,,,,,,
4,6,Salt - to taste,to taste,,to taste,,,to taste,
5,1,2 Banana flower (Vazhaipoo) - ripe,ripe,,,,ripe,,
5,2,1 cup Coconut milk - thick,thick,,,,,thick,size
5,3,3 cups Coconut milk - thin,thin,,thin,,,thin,size
5,9,3/4 teaspoon Salt - and some more for cooking the chana dal,and some more for cooking the chana dal,,and some more,for cooking the chana dal,,and some more for cooking the chana dal,
5,10,Water - as required,as required,,as required,,,as required,
6,8,Salt - to taste,to taste,,to taste,,,to taste,
6,9,Sunflower Oil - for cooking,for cooking,,,for cooking,,for cooking,
7,2,1 Onion - big,big,,big,,,big,size
7,4,1 cup Coconut milk - thick,thick,,,,,thick,size
7,9,Salt - to taste,to taste,,to taste,,,to taste,
8,9,1 tablespoon Ginger - juliennes,juliennes,,,,juliennes,,
8,15,Salt - to taste,to taste,,to taste,,,to taste,
9,1,2 Seer fish - slices,slices,,,,slices,,
9,3,Salt - to taste,to taste,,to taste,,,to taste,
10,6,Salt - to taste,to taste,,to taste,,,to taste,
11,3,1 cup coconut - tighten,tighten,,,,tighten,,
11,6,salt - as per taste,as per taste,,as per taste,,,as per taste,
13,3,Salt - to taste,to taste,,to taste,,,to taste,
13,5,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
13,13,Sunflower Oil - for tempering,for tempering,,,for tempering,,for tempering,
14,1,500 Chicken - medium sized pieces,medium sized pieces,,,,,medium sized pieces,size
14,8,Salt - as per taste,as per taste,,as per taste,,,as per taste,
15,1,1 cup Mixed vegetables - (french beans,(french beans,,,,,,
15,4,Salt - to taste,to taste,,to taste,,,to taste,
15,13,Asafoetida (hing) - A pinch,A pinch,,,,,,
15,14,Curry leaves - as required,as required,,as required,,,as required,
16,1,250 gm arabic - wash now,wash now,,wash now,,,wash now,
16,3,1 tamarind - Malabar,Malabar,,,,,,
16,4,salt - as per taste,as per taste,,as per taste,,,as per taste,
16,5,1/4 cup coconut - scrape,scrape,,,,scraped,,
16,9,2 onions - peel and chop,peel and chop,,peel and chop,,peel and chop,,
16,12,2 dry red chillies - break,break,,,,break,,
17,10,Coconut Oil - for cooking,for cooking,,,for cooking,,for cooking,
17,11,Salt - to taste,to taste,,to taste,,,to taste,
17,14,Salt - to taste,to taste,,to taste,,,to taste,
18,9,Sunflower Oil - for deep frying,for deep frying,,,for deep frying,,for deep frying,
19,1,1/2 kg Fish - (I have used sardine cleaned and cut),(I have used sardine cleaned and cut),,(I have used sardine cleaned and cut),,cleaned and cut,,
