ifct_code,ifct_name,food_group,energy_kcal,energy_kj,protein_g,carb_g,fat_g,fibre_g
A001,"Amaranth seed, black",Cereals and Millets,356.1,1490.0,14.59,59.98,5.74,7.02
A002,"Amaranth seed, pale brown",Cereals and Millets,355.9,1489.0,13.27,61.46,5.56,7.47
A003,Bajra,Cereals and Millets,348.0,1456.0,10.96,61.78,5.43,11.49
A004,Barley,Cereals and Millets,315.7,1321.0,10.94,61.29,1.3,15.64
A005,Jowar,Cereals and Millets,334.1,1398.0,9.97,67.68,1.73,10.22
A006,"Maize, dry",Cereals and Millets,334.1,1398.0,8.8,64.77,3.77,12.24
A007,"Maize, tender, local",Cereals and Millets,120.0,502.0,3.57,22.69,1.4,3.67
A008,"Maize, tender, sweet",Cereals and Millets,96.8,405.0,4.16,16.42,1.35,3.3
A009,Quinoa,Cereals and Millets,328.4,1374.0,13.11,53.65,5.5,14.66
A010,Ragi,Cereals and Millets,320.7,1342.0,7.16,66.82,1.92,11.18
A011,"Rice, flakes",Cereals and Millets,353.7,1480.0,7.44,76.75,1.14,3.46
A012,"Rice, puffed",Cereals and Millets,361.9,1514.0,7.47,77.68,1.62,2.56
A013,"Rice, raw, brown",Cereals and Millets,353.7,1480.0,9.16,74.8,1.24,4.43
A014,"Rice, parboiled, milled",Cereals and Millets,351.6,1471.0,7.81,77.16,0.55,3.74
A015,"Rice, raw, milled",Cereals and Millets,356.4,1491.0,7.94,78.24,0.52,2.81
A016,Samai,Cereals and Millets,346.3,1449.0,10.13,65.55,3.89,7.72
A017,Varagu,Cereals and Millets,331.7,1388.0,8.92,66.19,2.55,6.39
A018,"Wheat flour, refined",Cereals and Millets,351.8,1472.0,10.36,74.27,0.76,2.76
A019,"Wheat flour, atta",Cereals and Millets,320.3,1340.0,10.57,64.17,1.53,11.36
A020,"Wheat, whole",Cereals and Millets,321.9,1347.0,10.59,64.72,1.47,11.23
A021,"Wheat, bulgur",Cereals and Millets,341.8,1430.0,10.84,69.06,1.45,8.81
A022,"Wheat, semolina",Cereals and Millets,333.7,1396.0,11.38,68.43,0.74,9.72
A023,"Wheat, vermicelli",Cereals and Millets,332.7,1392.0,9.7,70.39,0.45,9.28
A024,"Wheat, vermicelli, roasted",Cereals and Millets,340.1,1423.0,10.37,71.42,0.49,9.55
B001,"Bengal gram, dal",Grain Legumes,329.1,1377.0,21.55,46.72,5.31,15.15
B002,"Bengal gram, whole",Grain Legumes,287.0,1201.0,18.77,39.56,5.11,25.22
B003,"Black gram, dal",Grain Legumes,324.1,1356.0,23.06,51.0,1.69,11.93
B004,"Black gram, whole",Grain Legumes,291.3,1219.0,21.97,43.99,1.58,20.41
B005,"Cowpea, brown",Grain Legumes,320.3,1340.0,20.36,54.62,1.15,11.54
B006,"Cowpea, white",Grain Legumes,320.3,1340.0,21.25,53.77,1.14,11.7
B007,"Field bean, black",Grain Legumes,276.1,1155.0,19.93,43.46,0.92,23.4
B008,"Field bean, brown",Grain Legumes,283.0,1184.0,19.9,45.24,0.98,22.4
B009,"Field bean, white",Grain Legumes,280.4,1173.0,19.84,44.53,0.94,22.99
B010,"Green gram, dal",Grain Legumes,325.8,1363.0,23.88,52.59,1.35,9.37
B011,"Green gram, whole",Grain Legumes,293.7,1229.0,22.53,46.13,1.14,17.04
B012,"Horse gram, whole",Grain Legumes,329.6,1379.0,21.73,57.24,0.62,7.88
B013,"Lentil, dal",Grain Legumes,322.4,1349.0,24.35,52.53,0.75,10.43
B014,"Lentil, whole, brown",Grain Legumes,299.0,1251.0,22.49,48.47,0.64,16.82
B015,"Lentil, whole, yellowish",Grain Legumes,297.8,1246.0,22.87,47.91,0.61,16.66
B016,Moth bean,Grain Legumes,308.6,1291.0,19.75,52.09,1.76,15.12
B017,"Peas, dry",Grain Legumes,303.3,1269.0,20.43,48.93,1.89,17.01
B018,"Rajmah, black",Grain Legumes,298.0,1247.0,19.01,49.59,1.62,17.74
B019,"Rajmah, brown",Grain Legumes,297.6,1245.0,19.5,48.83,1.68,16.95
B020,"Rajmah, red",Grain Legumes,299.2,1252.0,19.91,48.61,1.77,16.57
B021,"Red gram, dal",Grain Legumes,330.8,1384.0,21.7,55.23,1.56,9.06
B022,"Red gram, whole",Grain Legumes,273.9,1146.0,20.47,42.48,1.38,22.84
B023,Ricebean,Grain Legumes,302.3,1265.0,19.97,51.26,0.74,13.37
B024,"Soya bean, brown",Grain Legumes,381.5,1596.0,35.58,12.79,19.82,21.55
B025,"Soya bean, white",Grain Legumes,377.4,1579.0,37.8,10.16,19.42,22.63
C001,Agathi leaves,Green Leafy Vegetables,70.5,295.0,8.01,5.21,1.35,8.6
C002,"Amaranth leaves, green",Green Leafy Vegetables,30.6,128.0,3.29,2.28,0.65,4.41
C003,"Amaranth leaves, red",Green Leafy Vegetables,33.5,140.0,3.93,2.37,0.63,4.91
C004,"Amaranth leaves, red and green",Green Leafy Vegetables,31.5,132.0,3.09,2.87,0.53,4.6
C005,"Amaranth, spinous, leaves, green",Green Leafy Vegetables,26.3,110.0,3.54,1.61,0.36,5.1
C006,"Amaranth, spinous, leaves, red and green",Green Leafy Vegetables,23.7,99.0,2.8,1.45,0.34,5.57
C007,Basella leaves,Green Leafy Vegetables,19.6,82.0,1.57,2.01,0.45,2.21
C008,Bathua leaves,Green Leafy Vegetables,27.7,116.0,2.5,2.56,0.44,4.01
C009,Beetroot leaves,Green Leafy Vegetables,34.7,145.0,2.38,3.86,0.75,3.64
C010,"Betel leaves, big (kolkata)",Green Leafy Vegetables,48.3,202.0,2.51,7.37,0.75,2.12
C011,"Betel leaves, small",Green Leafy Vegetables,43.7,183.0,2.62,6.16,0.75,1.97
C012,Brussels sprouts,Green Leafy Vegetables,44.2,185.0,4.26,5.09,0.5,4.29
C013,"Cabbage, Chinese",Green Leafy Vegetables,17.9,75.0,1.58,2.36,0.13,2.01
C014,"Cabbage, collard greens",Green Leafy Vegetables,30.1,126.0,3.63,2.79,0.27,2.98
C015,"Cabbage, green",Green Leafy Vegetables,21.5,90.0,1.36,3.25,0.12,2.76
C016,"Cabbage, violet",Green Leafy Vegetables,23.2,97.0,1.39,3.54,0.21,2.21
C017,Cauliflower leaves,Green Leafy Vegetables,35.4,148.0,3.9,3.39,0.42,3.43
C018,"Colocasia leaves, green",Green Leafy Vegetables,43.5,182.0,3.42,3.69,1.38,5.6
C019,Drumstick leaves,Green Leafy Vegetables,67.4,282.0,6.41,5.62,1.64,8.21
C020,Fenugreek leaves,Green Leafy Vegetables,34.4,144.0,3.68,2.17,0.83,4.9
C021,Garden cress,Green Leafy Vegetables,49.7,208.0,5.62,4.48,0.8,2.6
C022,"Gogu leaves, green stem",Green Leafy Vegetables,36.3,152.0,1.86,4.06,1.09,4.59
C023,"Gogu leaves, red stem",Green Leafy Vegetables,36.6,153.0,1.85,4.24,1.07,3.89
C024,"Knol-Khol, leaves",Green Leafy Vegetables,42.5,178.0,3.12,6.16,0.35,2.76
C025,Lettuce,Green Leafy Vegetables,21.7,91.0,1.54,3.01,0.27,1.79
C026,Mustard leaves,Green Leafy Vegetables,30.4,127.0,3.52,2.41,0.51,3.92
C027,Pak Choi leaves,Green Leafy Vegetables,16.0,67.0,1.41,1.78,0.25,1.91
C028,Parsley,Green Leafy Vegetables,72.9,305.0,5.55,9.43,1.14,3.87
C029,Ponnaganni,Green Leafy Vegetables,50.9,213.0,5.29,5.17,0.71,6.74
C030,"Pumpkin leaves, tender",Green Leafy Vegetables,44.2,185.0,4.21,4.75,0.74,2.25
C031,Radish leaves,Green Leafy Vegetables,26.1,109.0,2.22,2.77,0.51,1.82
C032,Rumex leaves,Green Leafy Vegetables,19.6,82.0,1.62,2.33,0.33,1.27
C033,Spinach,Green Leafy Vegetables,24.4,102.0,2.14,2.05,0.64,2.38
C034,"Tamarind leaves, tender",Green Leafy Vegetables,71.5,299.0,5.84,10.04,0.49,10.7
D001,Ash gourd,Other Vegetables,17.4,73.0,0.79,2.84,0.14,3.37
D002,"Bamboo shoot, tender",Other Vegetables,16.3,68.0,1.33,1.67,0.35,1.55
D003,"Bean scarlet, tender",Other Vegetables,42.8,179.0,2.86,5.16,0.99,4.5
D004,"Bitter gourd, jagged, teeth ridges, elongate",Other Vegetables,20.8,87.0,1.44,2.82,0.24,3.78
D005,"Bitter gourd, jagged, teeth ridges, short",Other Vegetables,18.9,79.0,1.34,2.53,0.24,3.49
D006,"Bitter gourd, jagged, smooth ridges, elongate",Other Vegetables,19.4,81.0,1.61,2.29,0.26,3.72
D007,"Bottle gourd, elongate, pale green",Other Vegetables,11.0,46.0,0.53,1.68,0.13,2.12
D008,"Bottle gourd, round, pale green",Other Vegetables,13.6,57.0,0.42,2.53,0.12,2.1
D009,"Bottle gourd, elongate, dark green",Other Vegetables,12.9,54.0,0.49,2.25,0.13,2.11
D010,Brinjal 1,Other Vegetables,27.2,114.0,1.77,3.49,0.39,3.57
D011,Brinjal 2,Other Vegetables,23.7,99.0,1.82,2.71,0.34,4.01
D012,Brinjal 3,Other Vegetables,24.4,102.0,1.36,3.38,0.33,4.26
D013,Brinjal 4,Other Vegetables,23.9,100.0,1.51,3.19,0.31,4.04
D014,Brinjal 5,Other Vegetables,26.5,111.0,1.38,4.02,0.29,4.13
D015,Brinjal 6,Other Vegetables,23.2,97.0,1.46,3.29,0.29,3.68
D016,Brinjal 7,Other Vegetables,23.4,98.0,1.4,3.1,0.37,3.32
D017,Brinjal 8,Other Vegetables,28.0,117.0,1.82,3.75,0.33,4.01
D018,Brinjal 9,Other Vegetables,25.3,106.0,1.47,3.52,0.35,4.0
D019,Brinjal 10,Other Vegetables,27.7,116.0,1.68,4.08,0.25,3.9
D020,Brinjal 11,Other Vegetables,25.1,105.0,1.43,3.53,0.31,4.12
D021,Brinjal 12,Other Vegetables,22.2,93.0,1.6,2.73,0.27,3.89
D022,Brinjal 13,Other Vegetables,29.6,124.0,1.49,4.51,0.31,3.92
D023,Brinjal 14,Other Vegetables,25.3,106.0,1.56,3.27,0.35,3.87
D024,Brinjal 15,Other Vegetables,27.2,114.0,1.58,3.96,0.29,3.99
D025,Brinjal 16,Other Vegetables,24.6,103.0,1.26,3.46,0.34,3.74
D026,Brinjal 17,Other Vegetables,21.7,91.0,1.18,2.89,0.36,3.94
D027,Brinjal 18,Other Vegetables,27.7,116.0,1.47,4.1,0.33,4.38
D028,Brinjal 19,Other Vegetables,23.9,100.0,1.26,3.39,0.31,3.97
D029,Brinjal 20,Other Vegetables,23.7,99.0,1.44,3.15,0.34,3.73
D030,Brinjal 21,Other Vegetables,27.0,113.0,1.36,3.93,0.35,3.85
D031,Brinjal - all varieties,Other Vegetables,25.3,106.0,1.48,3.52,0.32,3.98
D032,Broad beans,Other Vegetables,29.4,123.0,3.85,2.11,0.15,8.63
D033,"Capsicum, green",Other Vegetables,16.3,68.0,1.11,1.84,0.34,2.06
D034,"Capsicum, red",Other Vegetables,19.8,83.0,1.47,2.14,0.47,2.19
D035,"Capsicum, yellow",Other Vegetables,18.6,78.0,1.35,1.95,0.41,2.19
D036,Cauliflower,Other Vegetables,22.9,96.0,2.15,2.03,0.44,3.71
D037,Celery stalk,Other Vegetables,16.5,69.0,0.98,2.33,0.24,2.09
D038,Cho-cho-marrow,Other Vegetables,18.9,79.0,0.66,3.47,0.15,1.55
D039,Cluster beans,Other Vegetables,40.2,168.0,3.55,4.91,0.37,4.83
D040,"Colocasia, stem, black",Other Vegetables,23.9,100.0,0.76,3.83,0.34,3.01
D041,"Colocasia, stem, green",Other Vegetables,19.4,81.0,0.91,2.86,0.22,2.33
D042,"Corn, baby",Other Vegetables,73.1,306.0,2.69,11.66,1.33,6.09
D043,"Cucumber, green, elongate",Other Vegetables,19.6,82.0,0.71,3.48,0.16,2.14
D044,"Cucumber, green, short",Other Vegetables,17.4,73.0,0.83,2.82,0.18,2.13
D045,"Cucumber, orange, round",Other Vegetables,19.6,82.0,0.98,3.01,0.24,2.46
D046,Drumstick,Other Vegetables,29.4,123.0,2.62,3.76,0.12,6.83
D047,"Field beans, tender, broad",Other Vegetables,30.8,129.0,3.06,2.75,0.64,5.64
D048,"Field beans, tender, lean",Other Vegetables,33.5,140.0,3.71,2.85,0.6,6.19
D049,"French beans, country",Other Vegetables,24.4,102.0,2.49,2.68,0.26,4.38
D050,"French beans, hybrid",Other Vegetables,22.2,93.0,2.12,2.63,0.19,4.18
D051,"Jack fruit, raw",Other Vegetables,26.3,110.0,1.98,3.48,0.35,7.69
D052,"Jack fruit, seeds, mature",Other Vegetables,77.0,322.0,5.79,11.81,0.44,8.63
D053,Knol - Khol,Other Vegetables,16.0,67.0,1.58,1.39,0.35,2.75
D054,"Kovai, big",Other Vegetables,17.4,73.0,1.39,2.01,0.24,3.0
D055,"Kovai, small",Other Vegetables,19.1,80.0,1.22,2.41,0.24,3.25
D056,Ladies finger,Other Vegetables,27.5,115.0,2.08,3.62,0.22,4.08
D057,"Mango, green, raw",Other Vegetables,49.0,205.0,0.69,10.59,0.08,3.01
D058,"Onion, stalk",Other Vegetables,25.6,107.0,2.07,2.99,0.26,5.21
D059,"Papaya, raw",Other Vegetables,23.9,100.0,0.5,4.4,0.23,2.28
D060,Parwar,Other Vegetables,24.1,101.0,1.4,3.54,0.3,2.61
D061,"Peas, fresh",Other Vegetables,81.3,340.0,7.25,11.88,0.13,6.32
D062,"Plantain, flower",Other Vegetables,21.3,89.0,1.47,2.15,0.63,5.25
D063,"Plantain, green",Other Vegetables,79.8,334.0,1.18,17.58,0.23,3.6
D064,"Plantain, stem",Other Vegetables,39.4,165.0,0.35,8.64,0.16,2.12
D065,"Pumpkin, green, cylindrical",Other Vegetables,24.6,103.0,0.87,4.22,0.18,2.53
D066,"Pumpkin, orange, round",Other Vegetables,23.2,97.0,0.84,4.0,0.16,2.56
D067,"Red gram, tender, fresh",Other Vegetables,124.3,520.0,8.09,19.46,0.92,5.9
D068,Ridge gourd,Other Vegetables,13.1,55.0,0.91,1.72,0.14,1.81
D069,"Ridge gourd, smooth skin",Other Vegetables,15.3,64.0,0.98,2.24,0.13,1.85
D070,"Snake gourd, long, pale green",Other Vegetables,12.4,52.0,0.98,1.27,0.25,2.27
D071,"Snake gourd, long, dark green",Other Vegetables,12.0,50.0,0.89,1.23,0.25,2.27
D072,"Snake gourd, short",Other Vegetables,14.6,61.0,0.54,2.15,0.26,2.29
D073,"Tinda, tender",Other Vegetables,13.9,58.0,1.02,1.9,0.17,2.0
D074,"Tomato, green",Other Vegetables,20.8,87.0,1.12,3.18,0.27,1.62
D075,"Tomato, ripe, hybrid",Other Vegetables,18.9,79.0,0.76,3.2,0.25,1.58
D076,"Tomato, ripe, local",Other Vegetables,19.6,82.0,0.9,2.71,0.47,1.77
D077,"Zucchini, green",Other Vegetables,20.1,84.0,1.1,2.33,0.51,2.3
D078,"Zucchini, yellow",Other Vegetables,18.9,79.0,1.31,2.2,0.44,1.84
E001,"Apple, big",Fruits,62.4,261.0,0.29,13.11,0.64,2.59
E002,"Apple, green",Fruits,51.1,214.0,0.46,10.65,0.5,2.54
E003,"Apple, small",Fruits,63.8,267.0,0.31,13.95,0.53,2.06
E004,"Apple, small, Kashmir",Fruits,64.3,269.0,0.27,13.99,0.6,2.07
E005,"Apricot, dried",Fruits,315.7,1321.0,3.17,72.63,0.74,3.32
