ingredient_id,generic_name,norm_key,food_group,ifct_code,link_rule,reviewed_by,notes
1,Sugar,water melon dark green sugar baby,Fruits,E065,subset_unique,,
2,Ghee,ghee,Edible Oils and Fats,T013,exact_primary,,
3,Fresh coconut,coconut kernel fresh,Nuts and Oil Seeds,H007,subset_unique,,
4,Vellai Poosanikai,ash gourd,Other Vegetables,D001,exact_alias,,
5,Green Chillies,chilli green,Condiments and Spices,G001,subset_unique,,
6,Turmeric powder,turmeric powder,Condiments and Spices,G033,exact_primary,,
7,Coconut Oil,coconut oil,Edible Oils and Fats,T001,exact_primary,,
8,Mustard seeds,mustard seed,Nuts and Oil Seeds,H013,exact_primary,,
9,Methi Seeds,fenugreek seed,Condiments and Spices,G026,exact_alias,,
10,Curry leaves,curry leaves,Condiments and Spices,G010,exact_primary,,
11,turmeric powder,turmeric powder,Condiments and Spices,G033,exact_primary,,
12,Sunflower Oil,sunflower oil,Edible Oils and Fats,T012,exact_primary,,
13,Chana dal,bengal gram dal,Grain Legumes,B001,exact_alias,,
14,Bhindi,lady finger,Other Vegetables,D056,exact_alias,,
15,Green Chilli,chilli green,Condiments and Spices,G001,subset_unique,,
16,Brinjal,brinjal,Other Vegetables,D010,exact_primary,,
17,Elephant yam,yam elephant,Roots and Tubers,F017,subset_unique,,
18,Cumin seeds,cumin seed,Condiments and Spices,G025,exact_primary,,
19,Cloves,cloves,Condiments and Spices,G023,exact_primary,,
20,sugar,water melon dark green sugar baby,Fruits,E065,subset_unique,,
21,Jaggery,jaggery cane,Sugars,I001,subset_unique,,
22,Cashew nuts,cashew nut,Nuts and Oil Seeds,H005,exact_primary,,
23,Asafoetida,asafoetida,Condiments and Spices,G019,exact_primary,,
24,coconut oil,coconut oil,Edible Oils and Fats,T001,exact_primary,,
25,cumin seeds,cumin seed,Condiments and Spices,G025,exact_primary,,
26,curry leaves,curry leaves,Condiments and Spices,G010,exact_primary,,
27,Lemon juice,lemon juice,Fruits,E033,exact_primary,,
28,Mint Leaves,mint leaves,Condiments and Spices,G016,exact_primary,,
29,Raw papaya,papaya raw,Other Vegetables,D059,subset_unique,,
30,green chillies,chilli green,Condiments and Spices,G001,subset_unique,,
31,Fresh Coconut,coconut kernel fresh,Nuts and Oil Seeds,H007,subset_unique,,
32,Badam,almond,Nuts and Oil Seeds,H001,exact_alias,,
33,Lemon,lemon juice,Fruits,E033,subset_unique,,
34,Curry Leaves,curry leaves,Condiments and Spices,G010,exact_primary,,
35,small onions,onion small,Condiments and Spices,G018,subset_unique,,
36,Poppy seeds,poppy seed,Condiments and Spices,G032,exact_primary,,
37,Dry coconut,coconut kernel dry,Nuts and Oil Seeds,H006,subset_unique,,
38,Mustard Seeds,mustard seed,Nuts and Oil Seeds,H013,exact_primary,,
39,coriander leaves,coriander leaves,Condiments and Spices,G009,exact_primary,,
40,Crabs,crab,Marine Shellfish,Q001,exact_primary,,
41,Brown Rice,rice raw brown,Cereals and Millets,A013,subset_unique,,
42,Drumstick,drumstick,Other Vegetables,D046,exact_primary,,
43,turmeric Powder,turmeric powder,Condiments and Spices,G033,exact_primary,,
44,brinjals,brinjal,Other Vegetables,D010,exact_primary,,
45,fenugreek seeds,fenugreek seed,Condiments and Spices,G026,exact_primary,,
46,Cauliflower,cauliflower,Other Vegetables,D036,exact_primary,,
47,Cashew Nuts,cashew nut,Nuts and Oil Seeds,H005,exact_primary,,
48,Mustard oil,mustard oil,Edible Oils and Fats,T006,exact_primary,,
49,jaggery,jaggery cane,Sugars,I001,subset_unique,,
50,small potatoes,potato brown skin small,Roots and Tubers,F007,subset_unique,,
51,turmeric,turmeric powder,Condiments and Spices,G033,subset_unique,,
52,cumin,cumin seed,Condiments and Spices,G025,subset_unique,,
53,Coconut oil,coconut oil,Edible Oils and Fats,T001,exact_primary,,
54,Ash gourd,ash gourd,Other Vegetables,D001,exact_primary,,
55,drumsticks,drumstick,Other Vegetables,D046,exact_primary,,
56,Button mushrooms,button mushroom fresh,Mushrooms,J001,subset_unique,,
57,Drumstick Leaves,drumstick leaf,Green Leafy Vegetables,C019,exact_primary,,
58,Lemon Juice,lemon juice,Fruits,E033,exact_primary,,
