recipe_id,line_no,raw_line,regex_qty,regex_unit,regex_name,ip_name,ip_qty,ip_unit,ip_state,ip_comment,ip_purpose,patch_dry_fresh,ip_patched_name,modifier_text,flag_name,flag_qty,flag_unit,flag_state,review_flags
1,1,1 cup Ada,1,cup,Ada,Ada,1,cup,,,,,Ada,,False,False,False,False,
1,2,2 liter Milk - full cream,2,liter,Milk,Milk; full cream,2,liter,,,,,Milk; full cream,full cream,True,False,False,True,name;state
1,3,3/4 cup Sugar,3/4,cup,Sugar,Sugar,3/4,cup,,,,,Sugar,,False,False,False,False,
1,4,1 tablespoon Ghee,1,tablespoon,Ghee,Ghee,1,tablespoon,,,,,Ghee,,False,False,False,False,
1,5,1/2 teaspoon Cardamom Powder (Elaichi),1/2,teaspoon,Cardamom Powder (Elaichi),Cardamom Powder (Elaichi),1/2,teaspoon,,,,,Cardamom Powder (Elaichi),,False,False,False,False,
2,1,1-1/2 cups Curd (Dahi / Yogurt) - thick,1-1/2,cups,Curd (Dahi / Yogurt),Curd Yogurt,1/2,cup,thick,Dahi,,,Curd (Dahi / Yogurt),thick,False,True,False,False,qty
2,2,1/2 cup Fresh coconut,1/2,cup,Fresh coconut,Fresh coconut,1/2,cup,,,,Fresh,Fresh coconut,,False,False,False,False,
2,3,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed,1,cup,Vellai Poosanikai (Ash gourd/White Pumpkin),Vellai Poosanikai,1,cup,cubed,(Ash gourd/White Pumpkin),,,Vellai Poosanikai (Ash gourd/White Pumpkin),cubed,False,False,False,False,
2,4,4 Green Chillies,4,,Green Chillies,Green Chillies,4,,,,,,Green Chillies,,False,False,False,False,
2,5,1/4 teaspoon Black pepper powder,1/4,teaspoon,Black pepper powder,Black pepper powder,1/4,teaspoon,,,,,Black pepper powder,,False,False,False,False,
2,6,1/3 cup Water,1/3,cup,Water,Water,1/3,cup,,,,,Water,,False,False,False,False,
2,7,1/4 teaspoon Turmeric powder (Haldi),1/4,teaspoon,Turmeric powder (Haldi),Turmeric powder (Haldi),1/4,teaspoon,,,,,Turmeric powder (Haldi),,False,False,False,False,
2,8,Salt - as per your taste,,,Salt,Salt,,,,as per your taste,,,Salt,as per your taste,False,False,False,True,state
2,9,1 teaspoon Coconut Oil,1,teaspoon,Coconut Oil,Coconut Oil,1,teaspoon,,,,,Coconut Oil,,False,False,False,False,
2,10,1/4 teaspoon Mustard seeds,1/4,teaspoon,Mustard seeds,Mustard seeds,1/4,teaspoon,,,,,Mustard seeds,,False,False,False,False,
2,11,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1/4,teaspoon,Methi Seeds (Fenugreek Seeds),Methi Seeds (Fenugreek Seeds),1/4,teaspoon,,,,,Methi Seeds (Fenugreek Seeds),,False,False,False,False,
