code,name,grup,name_key,n_sharing_key
A001,"Amaranth seed, black",Cereals and Millets,amaranth seed black,1
A002,"Amaranth seed, pale brown",Cereals and Millets,amaranth seed pale brown,1
A003,Bajra,Cereals and Millets,bajra,1
A004,Barley,Cereals and Millets,barley,1
A005,Jowar,Cereals and Millets,jowar,1
A006,"Maize, dry",Cereals and Millets,maize dry,1
A007,"Maize, tender, local",Cereals and Millets,maize tender local,1
A008,"Maize, tender, sweet",Cereals and Millets,maize tender sweet,1
A009,Quinoa,Cereals and Millets,quinoa,1
A010,Ragi,Cereals and Millets,ragi,1
A011,"Rice, flakes",Cereals and Millets,rice flake,1
A012,"Rice, puffed",Cereals and Millets,rice puffed,1
A013,"Rice, raw, brown",Cereals and Millets,rice raw brown,1
A014,"Rice, parboiled, milled",Cereals and Millets,rice parboiled milled,1
A015,"Rice, raw, milled",Cereals and Millets,rice raw milled,1
A016,Samai,Cereals and Millets,samai,1
A017,Varagu,Cereals and Millets,varagu,1
A018,"Wheat flour, refined",Cereals and Millets,wheat flour refined,1
A019,"Wheat flour, atta",Cereals and Millets,wheat flour atta,1
A020,"Wheat, whole",Cereals and Millets,wheat whole,1
A021,"Wheat, bulgur",Cereals and Millets,wheat bulgur,1
A022,"Wheat, semolina",Cereals and Millets,wheat semolina,1
A023,"Wheat, vermicelli",Cereals and Millets,wheat vermicelli,1
A024,"Wheat, vermicelli, roasted",Cereals and Millets,wheat vermicelli roasted,1
B001,"Bengal gram, dal",Grain Legumes,bengal gram dal,1
B002,"Bengal gram, whole",Grain Legumes,bengal gram whole,1
B003,"Black gram, dal",Grain Legumes,black gram dal,1
B004,"Black gram, whole",Grain Legumes,black gram whole,1
B005,"Cowpea, brown",Grain Legumes,cowpea brown,1
B006,"Cowpea, white",Grain Legumes,cowpea white,1
B007,"Field bean, black",Grain Legumes,field bean black,1
B008,"Field bean, brown",Grain Legumes,field bean brown,1
B009,"Field bean, white",Grain Legumes,field bean white,1
B010,"Green gram, dal",Grain Legumes,green gram dal,1
B011,"Green gram, whole",Grain Legumes,green gram whole,1
B012,"Horse gram, whole",Grain Legumes,horse gram whole,1
B013,"Lentil, dal",Grain Legumes,lentil dal,1
B014,"Lentil, whole, brown",Grain Legumes,lentil whole brown,1
B015,"Lentil, whole, yellowish",Grain Legumes,lentil whole yellowish,1
B016,Moth bean,Grain Legumes,moth bean,1
B017,"Peas, dry",Grain Legumes,pea dry,1
B018,"Rajmah, black",Grain Legumes,rajmah black,1
B019,"Rajmah, brown",Grain Legumes,rajmah brown,1
B020,"Rajmah, red",Grain Legumes,rajmah red,1
B021,"Red gram, dal",Grain Legumes,red gram dal,1
B022,"Red gram, whole",Grain Legumes,red gram whole,1
B023,Ricebean,Grain Legumes,ricebean,1
B024,"Soya bean, brown",Grain Legumes,soya bean brown,1
B025,"Soya bean, white",Grain Legumes,soya bean white,1
C001,Agathi leaves,Green Leafy Vegetables,agathi leaves,1
C002,"Amaranth leaves, green",Green Leafy Vegetables,amaranth leaf green,1
C003,"Amaranth leaves, red",Green Leafy Vegetables,amaranth leaf red,1
C004,"Amaranth leaves, red and green",Green Leafy Vegetables,amaranth leaf red and green,1
C005,"Amaranth, spinous, leaves, green",Green Leafy Vegetables,amaranth spinous leaf green,1
C006,"Amaranth, spinous, leaves, red and green",Green Leafy Vegetables,amaranth spinous leaf red and green,1
C007,Basella leaves,Green Leafy Vegetables,basella leaves,1
C008,Bathua leaves,Green Leafy Vegetables,bathua leaves,1
C009,Beetroot leaves,Green Leafy Vegetables,beetroot leaves,1
C010,"Betel leaves, big (kolkata)",Green Leafy Vegetables,betel leaf big kolkata,1
C011,"Betel leaves, small",Green Leafy Vegetables,betel leaf small,1
C012,Brussels sprouts,Green Leafy Vegetables,brussels sprouts,1
C013,"Cabbage, Chinese",Green Leafy Vegetables,cabbage chinese,1
C014,"Cabbage, collard greens",Green Leafy Vegetables,cabbage collard greens,1
C015,"Cabbage, green",Green Leafy Vegetables,cabbage green,1
C016,"Cabbage, violet",Green Leafy Vegetables,cabbage violet,1
C017,Cauliflower leaves,Green Leafy Vegetables,cauliflower leaves,1
C018,"Colocasia leaves, green",Green Leafy Vegetables,colocasia leaves green,1
C019,Drumstick leaves,Green Leafy Vegetables,drumstick leaf,1
C020,Fenugreek leaves,Green Leafy Vegetables,fenugreek leaf,1
C021,Garden cress,Green Leafy Vegetables,garden cress,1
C022,"Gogu leaves, green stem",Green Leafy Vegetables,gogu leaf green stem,1
C023,"Gogu leaves, red stem",Green Leafy Vegetables,gogu leaf red stem,1
C024,"Knol-Khol, leaves",Green Leafy Vegetables,knol khol leaves,1
C025,Lettuce,Green Leafy Vegetables,lettuce,1
C026,Mustard leaves,Green Leafy Vegetables,mustard leaves,1
C027,Pak Choi leaves,Green Leafy Vegetables,pak choi leaves,1
C028,Parsley,Green Leafy Vegetables,parsley,1
C029,Ponnaganni,Green Leafy Vegetables,ponnaganni,1
C030,"Pumpkin leaves, tender",Green Leafy Vegetables,pumpkin leaf tender,1
C031,Radish leaves,Green Leafy Vegetables,radish leaf,1
C032,Rumex leaves,Green Leafy Vegetables,rumex leaves,1
C033,Spinach,Green Leafy Vegetables,spinach,1
C034,"Tamarind leaves, tender",Green Leafy Vegetables,tamarind leaf tender,1
D001,Ash gourd,Other Vegetables,ash gourd,1
D002,"Bamboo shoot, tender",Other Vegetables,bamboo shoot tender,1
D003,"Bean scarlet, tender",Other Vegetables,bean scarlet tender,1
D004,"Bitter gourd, jagged, teeth ridges, elongate",Other Vegetables,bitter gourd jagged tooth ridge elongate,1
D005,"Bitter gourd, jagged, teeth ridges, short",Other Vegetables,bitter gourd jagged tooth ridge short,1
D006,"Bitter gourd, jagged, smooth ridges, elongate",Other Vegetables,bitter gourd jagged smooth ridge elongate,1
