norm_key,n_lines,bucket,n_codes,ifct_code,ifct_name
salt,135,no_hit,0,,
curry leaves,111,unique,1,G010,Curry leaves
turmeric powder haldi,82,unique,1,G033,Turmeric powder
fresh coconut,80,unique,1,H007,"Coconut, kernel, fresh"
coconut oil,72,unique,1,T001,Coconut oil
green chilli,67,multiple,8,G001,"Chillies, green-1"
green chilli,67,multiple,8,G002,"Chillies, green-2"
green chilli,67,multiple,8,G003,"Chillies, green-3"
green chilli,67,multiple,8,G004,"Chillies, green-4"
green chilli,67,multiple,8,G005,"Chillies, green-5"
green chilli,67,multiple,8,G006,"Chillies, green-6"
green chilli,67,multiple,8,G007,"Chillies, green-7"
green chilli,67,multiple,8,G008,"Chillies, green - all varieties"
mustard seed,60,unique,1,H013,Mustard seeds
garlic,50,multiple,3,G011,"Garlic, big cloves"
garlic,50,multiple,3,G012,"Garlic, small cloves"
garlic,50,multiple,3,G013,"Garlic, single clove, Kashmir"
onion,48,multiple,3,D058,"Onion, stalk"
onion,48,multiple,3,G017,"Onion, big"
onion,48,multiple,3,G018,"Onion, small"
cumin seed jeera,41,unique,1,G025,Cumin seeds
ginger,40,multiple,2,G014,"Ginger, fresh"
ginger,40,multiple,2,G015,Mango ginger
dry red chilli,38,unique,1,G022,"Chillies, red"
red chilli powder,34,unique,1,G022,"Chillies, red"
sunflower oil,30,unique,1,T012,Sunflower oil
tomato,29,multiple,3,D074,"Tomato, green"
tomato,29,multiple,3,D075,"Tomato, ripe, hybrid"
tomato,29,multiple,3,D076,"Tomato, ripe, local"
water,29,multiple,5,E065,"Water melon, dark green (sugar baby)"
water,29,multiple,5,E066,"Water melon, pale green"
water,29,multiple,5,F016,Water Chestnut
water,29,multiple,5,K002,Coconut water
water,29,multiple,5,S003,Fresh water Eel
coconut milk,23,no_hit,0,,
black pepper powder,21,unique,1,G031,"Pepper, black"
ghee,18,unique,1,T013,Ghee
shallot,18,no_hit,0,,
pearl onion sambar onion,17,no_hit,0,,
jaggery,16,unique,1,I001,"Jaggery, cane"
sugar,16,unique,1,E065,"Water melon, dark green (sugar baby)"
coriander dhania leaves,15,unique,1,G009,Coriander leaves
coriander powder dhania,14,no_hit,0,,
cashew nut,13,unique,1,H005,Cashew nut
fennel seed saunf,13,no_hit,0,,
white urad dal split,13,no_hit,0,,
cardamom elaichi pod seed,12,no_hit,0,,
cinnamon stick dalchini,12,no_hit,0,,
coconut,12,multiple,4,H006,"Coconut, kernel, dry"
coconut,12,multiple,4,H007,"Coconut, kernel, fresh"
coconut,12,multiple,4,K002,Coconut water
coconut,12,multiple,4,T001,Coconut oil
whole black peppercorn,12,no_hit,0,,
turmeric powder,12,unique,1,G033,Turmeric powder
lemon juice,11,unique,1,E033,"Lemon, juice"
cardamom powder elaichi,10,no_hit,0,,
chicken,10,multiple,7,J002,"Chicken mushroom, fresh"
chicken,10,multiple,7,N001,"Chicken, poultry, leg, skinless"
chicken,10,multiple,7,N002,"Chicken, poultry, thigh, skinless"
chicken,10,multiple,7,N003,"Chicken, poultry, breast, skinless"
chicken,10,multiple,7,N004,"Chicken, poultry, wing, skinless"
chicken,10,multiple,7,N005,"Poultry, chicken, liver"
chicken,10,multiple,7,N006,"Poultry, chicken, gizzard"
coriander dhania seed,10,unique,1,G024,Coriander seeds
garam masala powder,10,no_hit,0,,
