norm_key,n_lines,bucket,n_codes,ifct_code,ifct_name
salt,135,no_hit,0,,
curry leaves,111,unique,1,G010,Curry leaves
turmeric powder haldi,82,no_hit,0,,
fresh coconut,80,no_hit,0,,
coconut oil,72,unique,1,T001,Coconut oil
green chilli,67,multiple,8,G001,"Chillies, green-1"
green chilli,67,multiple,8,G002,"Chillies, green-2"
green chilli,67,multiple,8,G003,"Chillies, green-3"
green chilli,67,multiple,8,G004,"Chillies, green-4"
green chilli,67,multiple,8,G005,"Chillies, green-5"
green chilli,67,multiple,8,G006,"Chillies, green-6"
green chilli,67,multiple,8,G007,"Chillies, green-7"
green chilli,67,multiple,8,G008,"Chillies, green - all varieties"
mustard seed,60,unique,1,H013,Mustard seeds
garlic,50,no_hit,0,,
onion,48,no_hit,0,,
cumin seed jeera,41,no_hit,0,,
ginger,40,no_hit,0,,
dry red chilli,38,no_hit,0,,
red chilli powder,34,no_hit,0,,
sunflower oil,30,unique,1,T012,Sunflower oil
tomato,29,no_hit,0,,
water,29,no_hit,0,,
coconut milk,23,no_hit,0,,
black pepper powder,21,no_hit,0,,
ghee,18,unique,1,T013,Ghee
shallot,18,no_hit,0,,
pearl onion sambar onion,17,no_hit,0,,
jaggery,16,no_hit,0,,
sugar,16,no_hit,0,,
coriander dhania leaves,15,no_hit,0,,
coriander powder dhania,14,no_hit,0,,
cashew nut,13,unique,1,H005,Cashew nut
fennel seed saunf,13,no_hit,0,,
white urad dal split,13,no_hit,0,,
cardamom elaichi pod seed,12,no_hit,0,,
cinnamon stick dalchini,12,no_hit,0,,
coconut,12,no_hit,0,,
whole black peppercorn,12,no_hit,0,,
turmeric powder,12,unique,1,G033,Turmeric powder
lemon juice,11,unique,1,E033,"Lemon, juice"
cardamom powder elaichi,10,no_hit,0,,
chicken,10,no_hit,0,,
coriander dhania seed,10,no_hit,0,,
garam masala powder,10,no_hit,0,,
kashmiri red chilli powder,10,no_hit,0,,
methi seed fenugreek seed,10,no_hit,0,,
mustard,10,no_hit,0,,
carrot gajjar,9,no_hit,0,,
cloves laung,9,no_hit,0,,
curd dahi yogurt,9,no_hit,0,,
rice,9,no_hit,0,,
rice flour,9,no_hit,0,,
milk,8,no_hit,0,,
potato aloo,8,no_hit,0,,
raw banana,8,no_hit,0,,
oil,8,no_hit,0,,
ginger garlic paste,7,no_hit,0,,
mint leaf pudina,7,no_hit,0,,
tamarind,7,no_hit,0,,
baking soda,6,no_hit,0,,
elephant yam suran senai ratalu,6,no_hit,0,,
green bean french bean,6,no_hit,0,,
kokum malabar tamarind,6,no_hit,0,,
red matta rice,6,no_hit,0,,
all purpose flour maida,5,no_hit,0,,
asafoetida hing,5,no_hit,0,,
bhindi lady finger okra,5,no_hit,0,,
drumstick,5,unique,1,D046,Drumstick
fennel powder,5,no_hit,0,,
whole egg,5,no_hit,0,,
whole wheat flour,5,no_hit,0,,
cumin seed,5,unique,1,G025,Cumin seeds
small onion,5,unique,1,G018,"Onion, small"
chana dal bengal gram dal,4,no_hit,0,,
cumin powder jeera,4,no_hit,0,,
green peas matar,4,no_hit,0,,
kaddu parangikai/ pumpkin,4,no_hit,0,,
mango ripe,4,no_hit,0,,
methi powder fenugreek powder,4,no_hit,0,,
mutton,4,no_hit,0,,
prawn,4,no_hit,0,,
raisin,4,no_hit,0,,
ripe banana,4,no_hit,0,,
