name_raw,n_lines,sample,norm_key,name_key,codes,ifct_names,n_candidates,bucket
Salt,119,Salt - as per your taste; Salt - to taste; 3/4 teaspoon Salt - and some more for cooking the chana dal,salt,,,,0,no_hit
Curry leaves,94,1 sprig Curry leaves; 1 sprig Curry leaves; 1 sprig Curry leaves,curry leaves,curry leaves,G010,Curry leaves,1,unique
Turmeric powder (Haldi),82,1/4 teaspoon Turmeric powder (Haldi); Turmeric powder (Haldi) - a pinch; 1/2 teaspoon Turmeric powder (Haldi),turmeric powder haldi,,,,0,no_hit
Fresh coconut,72,1/2 cup Fresh coconut; 1/4 cup Fresh coconut - grated; 1 cup Fresh coconut - grated,fresh coconut,,,,0,no_hit
Coconut Oil,64,1 teaspoon Coconut Oil; 1 tablespoon Coconut Oil; 1 tablespoon Coconut Oil,coconut oil,coconut oil,T001,Coconut oil,1,unique
Mustard seeds,58,1/4 teaspoon Mustard seeds; 1 teaspoon Mustard seeds; 1/2 teaspoon Mustard seeds,mustard seed,mustard seed,H013,Mustard seeds,1,unique
Garlic,43,6 cloves Garlic; 6 cloves Garlic - finely chopped; 4 cloves Garlic - chopped,garlic,,,,0,no_hit
Cumin seeds (Jeera),41,1/2 teaspoon Cumin seeds (Jeera); 1 teaspoon Cumin seeds (Jeera); 1 teaspoon Cumin seeds (Jeera),cumin seed jeera,,,,0,no_hit
Ginger,39,2 teaspoons Ginger - grated; 1 tablespoon Ginger - juliennes; 1 inch Ginger,ginger,,,,0,no_hit
Green Chillies,34,4 Green Chillies; 2 Green Chillies - finely chopped; 6 Green Chillies,green chilli,,,,0,no_hit
Red Chilli powder,31,2 teaspoons Red Chilli powder; 1 teaspoon Red Chilli powder; 2 teaspoons Red Chilli powder,red chilli powder,,,,0,no_hit
Sunflower Oil,30,2 teaspoons Sunflower Oil; Sunflower Oil - for cooking; Sunflower Oil - for tempering,sunflower oil,sunflower oil,T012,Sunflower oil,1,unique
Onion,29,1 Onion; 1/4 Onion; 1 Onion - big,onion,,,,0,no_hit
Dry Red Chillies,27,2 Dry Red Chillies; 6 Dry Red Chillies; 2 Dry Red Chillies,dry red chilli,,,,0,no_hit
