name_raw,norm_key,n_lines
Aachi Fish Masala,aachi fish masala,1
Active dry yeast,active dry yeast,2
Ada,ada,1
All Purpose Flour (Maida),all purpose flour maida,5
Arhar dal (Split Toor Dal),arhar dal split toor dal,3
Asafoetida (hing),asafoetida hing,7
Ash gourd,ash gourd,1
Baby Potatoes,baby potato,1
Badam (Almond),badam almond,2
Bajra Flour (Pearl Millet),bajra flour pearl millet,1
Baking powder,baking powder,2
Baking soda,baking soda,6
Banana Stem,banana stem,1
Banana flower (Vazhaipoo),banana flower vazhaipoo,1
Basmati rice,basmati rice,2
Bay leaf (tej patta),bay leaf tej patta,2
Bay leaves (tej patta),bay leaf tej patta,1
Bhindi (Lady Finger/Okra),bhindi lady finger okra,5
Black Eyed Beans (Lobia),black eyed bean lobia,1
Black Urad Dal (Split),black urad dal split,2
Black pepper powder,black pepper powder,19
Brinjal (Baingan / Eggplant),brinjal baingan eggplant,2
Brown Rice,brown rice,1
Butter,butter,1
Butter (unsalted),butter unsalted,2
Button mushrooms,button mushroom,1
Cabbage (Patta Gobi/ Muttaikose),cabbage patta gobi/ muttaikose,1
Candied orange peel,candied orange peel,1
Caramel Sauce,caramel sauce,1
Cardamom (Elaichi) Pods/Seeds,cardamom elaichi pod seed,14
Cardamom Powder (Elaichi),cardamom powder elaichi,10
Carrot (Gajjar),carrot gajjar,4
Carrots (Gajjar),carrot gajjar,5
Cashew nuts,cashew nut,13
Caster Sugar,caster sugar,1
Cauliflower (gobi),cauliflower gobi,1
Champagne,champagne,1
Chana dal (Bengal Gram Dal),chana dal bengal gram dal,4
Chayote,chayote,2
Chicken,chicken,10
Chicken masala,chicken masala,1
Chinese Potato,chinese potato,1
Cinnamon Powder (Dalchini),cinnamon powder dalchini,2
Cinnamon Stick (Dalchini),cinnamon stick dalchini,15
Cloves (Laung),cloves laung,9
Coconut Oil,coconut oil,65
Coconut milk,coconut milk,22
Coconut oil,coconut oil,1
Colocasia Root (Arbi),colocasia root arbi,1
Colocasia root (Arbi),colocasia root arbi,1
Cooked rice,cooked rice,3
Cooking soda,cooking soda,1
Coriander (Dhania) Leaves,coriander dhania leaves,15
Coriander (Dhania) Seeds,coriander dhania seed,10
Coriander Powder (Dhania),coriander powder dhania,14
Crabs,crab,1
Cucumber,cucumber,1
Cumin powder (Jeera),cumin powder jeera,4
Cumin seeds,cumin seed,1
Cumin seeds (Jeera),cumin seed jeera,41
Curd (Dahi / Yogurt),curd dahi yogurt,9
Curry leaves,curry leaves,98
Dried Figs,dried fig,1
Drumstick,drumstick,4
Drumstick Leaves (Moringa/Murungai Keerai),drumstick leaf moringa murungai keerai,2
Dry Red Chilli,dry red chilli,10
Dry Red Chillies,dry red chilli,28
Dry coconut (kopra),dry coconut kopra,2
Dry ginger powder,dry ginger powder,3
Egg whites,egg white,1
Egg yolks,egg yolk,1
Elephant yam (Suran/Senai/Ratalu),elephant yam suran senai ratalu,6
Enos fruit salt,enos fruit salt,1
Extra Virgin Olive Oil,extra virgin olive oil,1
Fennel,fennel,1
Fennel Powder,fennel powder,4
Fennel seeds (Saunf),fennel seed saunf,12
Fish,fish,2
Fish fillet,fish fillet,1
Fresh coconut,fresh coconut,81
Garam masala powder,garam masala powder,9
Garlic,garlic,44
Ghee,ghee,18
Ginger,ginger,40
Ginger Garlic Paste,ginger garlic paste,6
Glazed Cherries,glazed cherry,1
Gram flour (besan),gram flour besan,1
Green Chawli Beans (Yard long beans/Karamani/Barbati),green chawli bean yard long bean karamani barbati,1
Green Chilli,green chilli,23
Green Chillies,green chilli,37
Green Moong Dal (Whole),green moong dal whole,3
Green beans (French Beans),green bean french bean,6
Green peas (Matar),green peas matar,4
Guava,guava,1
Guava juice,guava juice,1
Homemade tomato puree,homemade tomato puree,1
Horse Gram Dal (Kollu/ Kulith),horse gram dal kollu/ kulith,1
Hot water,hot water,1
Hung Curd (Greek Yogurt),hung curd greek yogurt,1
Icing Sugar,icing sugar,1
Instant Coffee Powder,instant coffee powder,1
Instant Oats (Oatmeal),instant oat oatmeal,2
Jackfruit Raw (Kathal),jackfruit raw kathal,2
Jackfruit Ripe (Kathal),jackfruit ripe kathal,3
Jackfruit Seeds (Kathal),jackfruit seed kathal,1
Jaggery,jaggery,15
Kaddu (Parangikai/ Pumpkin),kaddu parangikai/ pumpkin,4
Kala Chana (Brown Chickpeas),kala chana brown chickpea,1
Karela (Bitter Gourd/ Pavakkai),karela bitter gourd/ pavakkai,1
Kashmiri Red Chilli Powder,kashmiri red chilli powder,9
Kashmiri red chilli powder,kashmiri red chilli powder,2
Kokum (Malabar Tamarind),kokum malabar tamarind,6
Lemon,lemon,2
Lemon juice,lemon juice,11
Lukewarm Water,lukewarm water,2
Mango (Raw),mango raw,3
Mango (Ripe),mango ripe,5
Meat masala,meat masala,2
Methi Powder (Fenugreek Powder),methi powder fenugreek powder,4
Methi Seeds (Fenugreek Seeds),methi seed fenugreek seed,10
Milk,milk,8
Mint Leaves (Pudina),mint leaf pudina,7
Mixed dry fruits (Apricot),mixed dry fruit apricot,1
Mixed nuts (Almond),mixed nut almond,1
Mixed vegetables (Green Beans),mixed vegetable green bean,1
Mixed vegetables (Potatoes),mixed vegetable potato,1
Mooli/ Mullangi (Radish),mooli/ mullangi radish,1
Mustard oil,mustard oil,1
Mustard seeds,mustard seed,60
Mutton,mutton,4
Nendra Pazham Banana (Ripe),nendra pazham banana ripe,2
Nutmeg powder,nutmeg powder,2
Onion,onion,29
Onions,onion,11
Orange,orange,1
Palm sugar,palm sugar,1
Papad,papad,1
Papaya,papaya,1
Papaya juice,papaya juice,1
Paprika powder,paprika powder,1
Pearl onions (Sambar Onions),pearl onion sambar onion,17
Poppy seeds,poppy seed,1
Potato (Aloo),potato aloo,6
Potatoes (Aloo),potato aloo,2
Prawns,prawn,5
Ragi Flour (Finger Millet/ Nagli),ragi flour finger millet/ nagli,1
Raisins,raisin,4
Rasam Powder,rasam powder,1
Raw Banana,raw banana,5
Raw Peanuts (Moongphali),raw peanut moongphali,1
Raw banana peel,raw banana peel,1
Raw papaya,raw papaya,2
Red Black Eyed Beans (Azuki),red black eyed bean azuki,1
Red Chilli flakes,red chilli flake,1
Red Chilli powder,red chilli powder,33
Red matta rice,red matta rice,6
Rice,rice,7
Rice ada,rice ada,1
Rice flour,rice flour,9
Rice puttu,rice puttu,1
Ripe Bananas,ripe banana,4
Rum,rum,2
Saffron strands,saffron strand,1
Salt,salt,120
Sambar Powder,sambar powder,1
Sardine fish,sardine fish,2
Seer fish,seer fish,2
Shallots,shallot,16
Shallots (pearl onions),shallot pearl onion,1
Shrimps,shrimp,1
Small onion (Sambar),small onion sambar,1
Squid,squid,1
Sugar,sugar,15
Sunflower Oil,sunflower oil,30
Sweet Potatoes,sweet potato,1
Tamarind,tamarind,6
Tamarind Paste,tamarind paste,2
Tamarind Water,tamarind water,3
Tapioca root,tapioca root,3
Tomato,tomato,12
Tomatoes,tomato,12
Tulsi (holy basil),tulsi holy basil,1
Turmeric powder (Haldi),turmeric powder haldi,82
Tutti frutti,tutti frutti,2
Vanilla Extract,vanilla extract,1
Vellai Poosanikai (Ash gourd/White Pumpkin),vellai poosanikai ash gourd white pumpkin,3
Vinegar,vinegar,2
Vivatta Maida,vivatta maida,1
Water,water,25
White Urad Dal (Split),white urad dal split,12
Whole Black Peppercorns,whole black peppercorn,12
Whole Egg,whole egg,1
Whole Eggs,whole egg,4
Whole Wheat Flour,whole wheat flour,5
Yam,yam,1
Yellow Moong Dal (Split),yellow moong dal split,3
active dry yeast,active dry yeast,1
black gram,black gram,1
black pepper powder,black pepper powder,2
brinjals,brinjal,1
cabbage,cabbage,2
cardamom powder,cardamom powder,1
carrots,carrot,2
coconut,coconut,11
coconut milk,coconut milk,1
coconut oil,coconut oil,6
coriander,coriander,1
coriander Powder,coriander powder,1
coriander leaves,coriander leaves,1
coriander powder,coriander powder,2
cumin,cumin,2
cumin powder,cumin powder,1
cumin seeds,cumin seed,5
curd,curd,1
curry leaf,curry leaf,1
curry leaves,curry leaves,15
drumsticks,drumstick,1
dry red chili,dry red chili,1
dry red chillies,dry red chilli,3
eggs,egg,1
fennel powder,fennel powder,1
fenugreek seeds,fenugreek seed,1
garam masala powder,garam masala powder,1
garlic,garlic,8
ginger,ginger,2
ginger garlic paste,ginger garlic paste,1
ginger powder,ginger powder,1
green beans,green bean,2
green chili,green chili,2
green chillies,green chilli,10
green coriander,green coriander,1
green peas,green pea,1
hot Masala powder,hot masala powder,1
instant coffee powder,instant coffee powder,1
jaggery,jaggery,1
luke warm water,luke warm water,1
lukewarm water,lukewarm water,1
mustard,mustard,10
oil,oil,8
okra,okra,2
olive oil,olive oil,1
onion,onion,3
onions,onion,5
paprika powder,paprika powder,1
pepper powder,pepper powder,1
potato,potato,1
potatoes,potato,1
raw banana,raw banana,2
raw banana peel,raw banana peel,1
raw bananas,raw banana,1
red chili,red chili,2
red chili powder,red chili powder,1
red chilli flax,red chilli flax,1
red chilli powder,red chilli powder,4
rice,rice,2
rye,rye,2
salt,salt,15
small onion sambar,small onion sambar,1
small onions,small onion,5
small potatoes,small potato,1
sugar,sugar,1
suran,suran,2
tamarind,tamarind,1
tomato,tomato,2
tomatoes,tomato,3
tulsi,tulsi,1
turmeric,turmeric,1
turmeric Powder,turmeric powder,1
turmeric powder,turmeric powder,11
water,water,4
white urad dal,white urad dal,1
white urad dal (split),white urad dal split,1
whole black pepper,whole black pepper,1
whole pepper,whole pepper,1
