name_raw,n_occurrences,sample_raw_lines,dry_fresh_seen,primary_key,candidate_ifct_names,chosen_ifct_code
Garlic,43,6 cloves Garlic; 6 cloves Garlic - finely chopped; 4 cloves Garlic - chopped,,garlic,"Garlic, big cloves; Garlic, small cloves; Garlic, single clove, Kashmir",
Ginger,39,2 teaspoons Ginger - grated; 1 tablespoon Ginger - juliennes; 1 inch Ginger,,ginger,"Ginger, fresh; Mango ginger",
Onion,29,1 Onion; 1/4 Onion; 1 Onion - big,,onion,"Onion, stalk; Onion, big; Onion, small",
Water,24,1/3 cup Water; Water - as required; 3 1/2 cups Water,,water,"Water melon, dark green (sugar baby); Water melon, pale green; Water Chestnut; Coconut water; Fresh water Eel",
Tomato,12,1 Tomato - finely chopped; 1 Tomato - chopped; 1 Tomato - chopped,,tomato,"Tomato, green; Tomato, ripe, hybrid; Tomato, ripe, local",
Tomatoes,12,3 Tomatoes - thinly sliced; 1 Tomatoes - finely chopped; 3 Tomatoes,,tomato,"Tomato, green; Tomato, ripe, hybrid; Tomato, ripe, local",
Onions,11,3 Onions - thinly sliced; 2 Onions - peeled; 2 Onions - peeled and chopped,,onion,"Onion, stalk; Onion, big; Onion, small",
Chicken,10,500 Chicken - medium sized pieces; 300 grams Chicken - minced; 500 grams Chicken,,chicken,"Chicken mushroom, fresh; Chicken, poultry, leg, skinless; Chicken, poultry, thigh, skinless; Chicken, poultry, breast, skinless; Chicken, poultry, wing, skinless",
coconut,10,1 cup coconut - grated; 1 cup coconut - tighten; 1/4 cup coconut - scrape,,coconut,"Coconut, kernel, dry; Coconut, kernel, fresh; Coconut water; Coconut oil",
mustard,10,1/2 tsp mustard; 1 teaspoon mustard; 1/2 teaspoon mustard,,mustard,Mustard leaves; Mustard seeds; Mustard oil,
oil,8,1 tsp oil; 2 teaspoons oil; 1 tablespoon oil,,oil,Coconut oil; Corn oil; Cotton seed oil; Gingelly oil; Groundnut oil,
Milk,8,2 liter Milk - full cream; 1-1/2 cups Milk; 1/4 cup Milk,,milk,"Milk, whole, Buffalo; Milk, whole, Cow; Milk fish",
garlic,7,3 cloves garlic; 8 cloves garlic; 3 cloves garlic - chopped,,garlic,"Garlic, big cloves; Garlic, small cloves; Garlic, single clove, Kashmir",
Rice,7,1/2 cup Rice - raw; 1 cup Rice; 2 tablespoons Rice - raw,,rice,"Rice, flakes; Rice, puffed; Rice, raw, brown; Rice, parboiled, milled; Rice, raw, milled",
Potato (Aloo),6,1 Potato (Aloo) - finely diced; 1 Potato (Aloo) - peeled and diced; 2 Potato (Aloo),,potato,"Potato, brown skin, big; Potato, brown skin, small; Potato, red skin; Sweet potato, brown skin; Sweet potato, pink skin",
Carrots (Gajjar),5,2 Carrots (Gajjar) - cut lengthwise; 1/2 cup Carrots (Gajjar) - diced; 3 Carrots (Gajjar) - chopped,,carrot,"Carrot, orange; Carrot, red",
water,5,2-1 / 2 cups water; 1-1/2 cups Water; 1/4 cup water,,water,"Water melon, dark green (sugar baby); Water melon, pale green; Water Chestnut; Coconut water; Fresh water Eel",
