norm_key,n_lines,generic_name,link_rule,link_confidence,n_candidates,candidate_codes,candidate_names,ifct_code,food_group,chosen_ifct_code,status,notes
salt,135,Salt,none,,0,,,,,,absent,not in IFCT; zero-macro sentinel
curry leaves,111,Curry leaves,exact,1.0,1,G010,Curry leaves,G010,Condiments and Spices,,auto,
turmeric powder haldi,82,Turmeric powder (Haldi),subset,0.8,1,G033,Turmeric powder,G033,Condiments and Spices,,auto,
fresh coconut,80,Fresh coconut,subset,0.8,1,H007,"Coconut, kernel, fresh",H007,Nuts and Oil Seeds,,auto,
coconut oil,72,Coconut Oil,exact,1.0,1,T001,Coconut oil,T001,Edible Oils and Fats,,auto,
green chilli,67,Green Chillies,tokenset,0.9,8,G001;G002;G003;G004;G005;G006;G007;G008,"Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties",G008,Condiments and Spices,,auto,IFCT 'all varieties' aggregate
mustard seed,60,Mustard seeds,exact,1.0,1,H013,Mustard seeds,H013,Nuts and Oil Seeds,,auto,
garlic,50,Garlic,subset,0.8,3,G011;G012;G013,"Garlic, big cloves;Garlic, small cloves;Garlic, single clove, Kashmir",,,,needs_pick,"3 varieties, no IFCT aggregate row"
onion,48,Onion,subset,0.8,3,D058;G017;G018,"Onion, stalk;Onion, big;Onion, small",,,,needs_name_fix,candidates span 2 food groups
cumin seed jeera,41,Cumin seeds (Jeera),subset,0.8,1,G025,Cumin seeds,G025,Condiments and Spices,,auto,
ginger,40,Ginger,subset,0.8,2,G014;G015,"Ginger, fresh;Mango ginger",,,,needs_pick,"2 varieties, no IFCT aggregate row"
dry red chilli,38,Dry Red Chillies,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,,auto,
red chilli powder,34,Red Chilli powder,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,,auto,
sunflower oil,30,Sunflower Oil,exact,1.0,1,T012,Sunflower oil,T012,Edible Oils and Fats,,auto,
tomato,29,Tomato,subset,0.8,3,D074;D075;D076,"Tomato, green;Tomato, ripe, hybrid;Tomato, ripe, local",,,,needs_pick,"3 varieties, no IFCT aggregate row"
water,29,Water,subset,0.8,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,,absent,not an IFCT food; melon/coconut hits are modifier collisions
coconut milk,23,Coconut milk,partial,0.5,7,H006;H007;K002;L001;L002;P037;T001,"Coconut, kernel, dry;Coconut, kernel, fresh;Coconut water;Milk, whole, Buffalo;Milk, whole, Cow;Milk fish;Coconut oil",,,,absent,not in IFCT; derive from H007 or USDA
black pepper powder,21,Black pepper powder,subset,0.8,1,G031,"Pepper, black",G031,Condiments and Spices,,auto,
ghee,18,Ghee,exact,1.0,1,T013,Ghee,T013,Edible Oils and Fats,,auto,
shallot,18,Shallots,none,,0,,,,,,no_candidate,no candidate at any rung
pearl onion sambar onion,17,Pearl onions (Sambar Onions),partial,0.5,3,D058;G017;G018,"Onion, stalk;Onion, big;Onion, small",,,,needs_partial,3 ranked candidates
jaggery,16,Jaggery,subset,0.8,1,I001,"Jaggery, cane",I001,Sugars,,auto,
sugar,16,Sugar,subset,0.8,1,E065,"Water melon, dark green (sugar baby)",,,,absent,refined sugar not in IFCT; melon hit is a modifier collision
coriander dhania leaves,15,Coriander (Dhania) Leaves,subset,0.8,1,G009,Coriander leaves,G009,Condiments and Spices,,auto,
coriander powder dhania,14,Coriander Powder (Dhania),partial,0.5,3,G009;G024;G033,Coriander leaves;Coriander seeds;Turmeric powder,,,,needs_partial,3 ranked candidates
cashew nut,13,Cashew nuts,exact,1.0,1,H005,Cashew nut,H005,Nuts and Oil Seeds,,auto,
fennel seed saunf,13,Fennel seeds (Saunf),partial,0.5,8,G024;G025;G026;G032;H013;H017;H019;H020,Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds,,,,needs_partial,8 ranked candidates
white urad dal split,13,White Urad Dal (Split),partial,0.5,3,B006;B013;P057,"Cowpea, white;Lentil, dal;Pomfret, white",,,,needs_partial,3 ranked candidates
cardamom elaichi pod seed,12,Cardamom (Elaichi) Pods/Seeds,partial,0.5,10,G020;G021;G024;G025;G026;G032;H013;H017;H019;H020,"Cardamom, green;Cardamom, black;Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds",,,,needs_partial,10 ranked candidates
cinnamon stick dalchini,12,Cinnamon Stick (Dalchini),none,,0,,,,,,no_candidate,no candidate at any rung
coconut,12,coconut,subset,0.8,4,H006;H007;K002;T001,"Coconut, kernel, dry;Coconut, kernel, fresh;Coconut water;Coconut oil",,,,needs_name_fix,candidates span 3 food groups
whole black peppercorn,12,Whole Black Peppercorns,partial,0.667,10,B004;A020;B018;E013;E015;G021;G031;P006;P055;R004,"Black gram, whole;Wheat, whole;Rajmah, black;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,,,needs_partial,10 ranked candidates
turmeric powder,12,turmeric powder,exact,1.0,1,G033,Turmeric powder,G033,Condiments and Spices,,auto,
lemon juice,11,Lemon juice,exact,1.0,1,E033,"Lemon, juice",E033,Fruits,,auto,
cardamom powder elaichi,10,Cardamom Powder (Elaichi),partial,0.5,3,G020;G021;G033,"Cardamom, green;Cardamom, black;Turmeric powder",,,,needs_partial,3 ranked candidates
chicken,10,Chicken,subset,0.8,7,J002;N001;N002;N003;N004;N005;N006,"Chicken mushroom, fresh;Chicken, poultry, leg, skinless;Chicken, poultry, thigh, skinless;Chicken, poultry, breast, skinless;Chicken, poultry, wing, skinless;Poultry, chicken, liver;Poultry, chicken, gizzard",,,,needs_name_fix,candidates span 2 food groups
coriander dhania seed,10,Coriander (Dhania) Seeds,subset,0.8,1,G024,Coriander seeds,G024,Condiments and Spices,,auto,
garam masala powder,10,Garam masala powder,partial,0.5,1,G033,Turmeric powder,,,,needs_partial,1 ranked candidates
kashmiri red chilli powder,10,Kashmiri Red Chilli Powder,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,,auto,
methi seed fenugreek seed,10,Methi Seeds (Fenugreek Seeds),subset,0.8,1,G026,Fenugreek seeds,G026,Condiments and Spices,,auto,
mustard,10,mustard,subset,0.8,3,C026;H013;T006,Mustard leaves;Mustard seeds;Mustard oil,,,,needs_name_fix,candidates span 3 food groups
carrot gajjar,9,Carrots (Gajjar),partial,0.5,2,F002;F003,"Carrot, orange;Carrot, red",,,,needs_partial,2 ranked candidates
cloves laung,9,Cloves (Laung),subset,0.8,1,G023,Cloves,G023,Condiments and Spices,,auto,
curd dahi yogurt,9,Curd (Dahi / Yogurt),none,,0,,,,,,absent,no curd row in Milk & Milk Products; USDA fallback
rice,9,Rice,subset,0.8,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,,,needs_name_fix,candidates span 2 food groups
rice flour,9,Rice flour,partial,0.5,8,A011;A012;A013;A014;A015;A018;A019;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Wheat flour, refined;Wheat flour, atta;Rice bran oil",,,,needs_partial,8 ranked candidates
milk,8,Milk,subset,0.8,3,L001;L002;P037,"Milk, whole, Buffalo;Milk, whole, Cow;Milk fish",,,,needs_name_fix,candidates span 2 food groups
potato aloo,8,Potato (Aloo),partial,0.5,5,F006;F007;F008;F013;F014,"Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,,,needs_partial,5 ranked candidates
