norm_key,n_lines,generic_name,status,link_rule,ifct_code,food_group,n_candidates,candidate_codes,candidate_names,successor_key,chosen_ifct_code,rank_found,hierarchical,reviewer_notes
salt,135,Salt,none,none,,,0,,,,,absent,,gather from USDA
curry leaves,113,Curry leaves,auto,exact,G010,Condiments and Spices,1,G010,Curry leaves,,G010,1,N,
turmeric powder haldi,82,Turmeric powder (Haldi),auto,subset,G033,Condiments and Spices,1,G033,Turmeric powder,,G033,1,N,
fresh coconut,81,Fresh coconut,auto,subset,H007,Nuts and Oil Seeds,1,H007,"Coconut, kernel, fresh",,H007,1,N,
coconut oil,72,Coconut Oil,auto,exact,T001,Edible Oils and Fats,1,T001,Coconut oil,,T001,1,N,
green chilli,70,Green Chillies,auto,tokenset,G008,Condiments and Spices,8,G001;G002;G003;G004;G005;G006;G007;G008,"Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties",,G008,8,N,
mustard seed,60,Mustard seeds,auto,exact,H013,Nuts and Oil Seeds,1,H013,Mustard seeds,,H013,1,N,
garlic,52,Garlic,review,subset,,,3,G011;G012;G013,"Garlic, big cloves;Garlic, small cloves;Garlic, single clove, Kashmir",,G013,3,N,
onion,48,Onion,review,subset,,,3,D058;G017;G018,"Onion, stalk;Onion, big;Onion, small",,G017,2,N,"Check normalization for ""small"" onion"
ginger,42,Ginger,review,subset,,,2,G014;G015,"Ginger, fresh;Mango ginger",,G014,1,N,
cumin seed jeera,41,Cumin seeds (Jeera),auto,subset,G025,Condiments and Spices,1,G025,Cumin seeds,,G025,1,N,
dry red chilli,41,Dry Red Chillies,auto,subset,G022,Condiments and Spices,1,G022,"Chillies, red",,G022,1,N,
red chilli powder,37,Red Chilli powder,auto,subset,G022,Condiments and Spices,1,G022,"Chillies, red",,G022,1,N,"G022 is the whole/raw chilli entry, not a powder-specific row"
sunflower oil,30,Sunflower Oil,auto,exact,T012,Edible Oils and Fats,1,T012,Sunflower oil,,T012,1,N,
tomato,29,Tomato,review,subset,,,3,D074;D075;D076,"Tomato, green;Tomato, ripe, hybrid;Tomato, ripe, local",,D075,2,Y,default to hybrid
water,29,Water,review,subset,,,5,E065;E066;F016;K002;S003,"Water melon, dark green (sugar baby);Water melon, pale green;Water Chestnut;Coconut water;Fresh water Eel",,,absent,,Zero macro count (USDA?)
coconut milk,23,Coconut milk,review,partial,,,7,H006;H007;K002;L001;L002;P037;T001,"Coconut, kernel, dry;Coconut, kernel, fresh;Coconut water;Milk, whole, Buffalo;Milk, whole, Cow;Milk fish;Coconut oil",,,absent,,gather from USDA
black pepper powder,21,Black pepper powder,auto,subset,G031,Condiments and Spices,1,G031,"Pepper, black",,G031,1,N,Whole peppercorn is not powder-specific; flag for future conisderation
ghee,18,Ghee,auto,exact,T013,Edible Oils and Fats,1,T013,Ghee,,T013,1,N,
pearl onion sambar onion,17,Pearl onions (Sambar Onions),review,partial,,,3,D058;G017;G018,"Onion, stalk;Onion, big;Onion, small",,G018,3,N,pearl/sambar liekly refers to small onions 
jaggery,16,Jaggery,auto,subset,I001,Sugars,1,I001,"Jaggery, cane",,I001,1,N,
shallot,16,Shallots,none,none,,,0,,,,,absent,,gather from USDA/use small onion
sugar,16,Sugar,auto,subset,E065,Fruits,1,E065,"Water melon, dark green (sugar baby)",,,absent,,gather from USDA
cinnamon stick dalchini,15,Cinnamon Stick (Dalchini),none,none,,,0,,,,,absent,,gather from USDA
coriander dhania leaves,15,Coriander (Dhania) Leaves,auto,subset,G009,Condiments and Spices,1,G009,Coriander leaves,,G009,1,N,
cardamom elaichi pod seed,14,Cardamom (Elaichi) Pods/Seeds,review,partial,,,10,G020;G021;G024;G025;G026;G032;H013;H017;H019;H020,"Cardamom, green;Cardamom, black;Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds",,G020,1,Y,default to green cardamom (likely more common)
coriander powder dhania,14,Coriander Powder (Dhania),review,partial,,,3,G009;G024;G033,Coriander leaves;Coriander seeds;Turmeric powder,,G024,2,N,"powder = ground seed, not leaf "
cashew nut,13,Cashew nuts,auto,exact,H005,Nuts and Oil Seeds,1,H005,Cashew nut,,H005,1,N,
white urad dal split,13,White Urad Dal (Split),review,partial,,,3,B006;B013;P057,"Cowpea, white;Lentil, dal;Pomfret, white",,B003,miss,N,urad dal = black gram
fennel seed saunf,12,Fennel seeds (Saunf),review,partial,,,8,G024;G025;G026;G032;H013;H017;H019;H020,Coriander seeds;Cumin seeds;Fenugreek seeds;Poppy seeds;Mustard seeds;Pine seeds;Safflower seeds;Sunflower seeds,,,absent,,gather from USDA
whole black peppercorn,12,Whole Black Peppercorns,review,partial,,,10,B004;A020;B018;E013;E015;G021;G031;P006;P055;R004,"Black gram, whole;Wheat, whole;Rajmah, black;Black berry;Currants, black;Cardamom, black;Pepper, black;Black snapper;Pomfret, black;Squid, black",,G031,7,N,
turmeric powder,12,turmeric powder,auto,exact,G033,Condiments and Spices,1,G033,Turmeric powder,,G033,1,N,
kashmiri red chilli powder,11,Kashmiri Red Chilli Powder,auto,subset,G022,Condiments and Spices,1,G022,"Chillies, red",,G022,1,N,"G022 is the whole/raw chilli entry, not a powder-specific row"
lemon juice,11,Lemon juice,auto,exact,E033,Fruits,1,E033,"Lemon, juice",,E033,1,N,
coconut,11,coconut,review,subset,,,4,H006;H007;K002;T001,"Coconut, kernel, dry;Coconut, kernel, fresh;Coconut water;Coconut oil",,H007,2,N,
cardamom powder elaichi,10,Cardamom Powder (Elaichi),review,partial,,,3,G020;G021;G033,"Cardamom, green;Cardamom, black;Turmeric powder",,G020,1,Y,elaichi' defaults to green cardamom 
chicken,10,Chicken,review,subset,,,7,J002;N001;N002;N003;N004;N005;N006,"Chicken mushroom, fresh;Chicken, poultry, leg, skinless;Chicken, poultry, thigh, skinless;Chicken, poultry, breast, skinless;Chicken, poultry, wing, skinless;Poultry, chicken, liver;Poultry, chicken, gizzard",,N002,3,Y,defaulted to thigh; check USDA for general
coriander dhania seed,10,Coriander (Dhania) Seeds,auto,subset,G024,Condiments and Spices,1,G024,Coriander seeds,,G024,1,N,
garam masala powder,10,Garam masala powder,review,partial,,,1,G033,Turmeric powder,,,absent,,False single candidate match
methi seed fenugreek seed,10,Methi Seeds (Fenugreek Seeds),auto,subset,G026,Condiments and Spices,1,G026,Fenugreek seeds,,G026,1,N,
mustard,10,mustard,review,subset,,,3,C026;H013;T006,Mustard leaves;Mustard seeds;Mustard oil,,H013,2,N,mustard defaults to seed (rather than the condiment)
carrot gajjar,9,Carrots (Gajjar),review,partial,,,2,F002;F003,"Carrot, orange;Carrot, red",,F002,1,Y,default to orange
cloves laung,9,Cloves (Laung),auto,subset,G023,Condiments and Spices,1,G023,Cloves,,G023,1,N,
curd dahi yogurt,9,Curd (Dahi / Yogurt),none,none,,,0,,,,,absent,,default to USDA
rice,9,Rice,review,subset,,,6,A011;A012;A013;A014;A015;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Rice bran oil",,A014,4,N,parboiled is likely more standard than raw rice
rice flour,9,Rice flour,review,partial,,,8,A011;A012;A013;A014;A015;A018;A019;T008,"Rice, flakes;Rice, puffed;Rice, raw, brown;Rice, parboiled, milled;Rice, raw, milled;Wheat flour, refined;Wheat flour, atta;Rice bran oil",,,absent,,default to USDA
milk,8,Milk,review,subset,,,3,L001;L002;P037,"Milk, whole, Buffalo;Milk, whole, Cow;Milk fish",,L002,2,N,Whole Milk
potato aloo,8,Potato (Aloo),review,partial,,,5,F006;F007;F008;F013;F014,"Potato, brown skin, big;Potato, brown skin, small;Potato, red skin;Sweet potato, brown skin;Sweet potato, pink skin",,F006,1,Y,Default to brown-skinned as other types are likely less common
raw banana,8,Raw Banana,review,partial,,,15,A013;A015;D051;D057;D059;E009;E010;E011;E012;M001;M002;M003;M008;M012;M014,"Rice, raw, brown;Rice, raw, milled;Jack fruit, raw;Mango, green, raw;Papaya, raw;Banana, ripe, montham;Banana, ripe, poovam;Banana, ripe, red;Banana, ripe, robusta;Egg, poultry, whole, raw;Egg, poultry, white, raw;Egg, poultry, yolk, raw;Egg, country hen, whole, raw;Egg, duck, whole, raw;Egg, quial, whole, raw",,D063,miss,Y,Defaulted to Raw variant of plaintain
oil,8,oil,review,subset,,,12,T001;T002;T003;T004;T005;T006;T007;T008;T009;T010;T011;T012,Coconut oil;Corn oil;Cotton seed oil;Gingelly oil;Groundnut oil;Mustard oil;Palm oil;Rice bran oil;Safflower oil;Safflower oil (blended);Soyabean oil;Sunflower oil,,T001,1,Y,defaulted to coconut oil for base fat (worth rescanning recipe base) 
asafoetida hing,7,Asafoetida (hing),auto,subset,G019,Condiments and Spices,1,G019,Asafoetida,,G019,1,N,
ginger garlic paste,7,Ginger Garlic Paste,review,partial,,,2,G014;G015,"Ginger, fresh;Mango ginger",,,absent,,ginger garlic paste is a specific blend - USDA
mint leaf pudina,7,Mint Leaves (Pudina),review,partial,,,4,C019;C020;C031;G016,Drumstick leaves;Fenugreek leaves;Radish leaves;Mint leaves,,G016,4,N,
