norm_key,n_lines,generic_name,link_rule,link_confidence,n_candidates,candidate_codes,candidate_names,ifct_code,food_group,status,notes,chosen_ifct_code,rank_found,hierarchical,reviewer_notes
salt,135,Salt,none,,0,,,,,absent,not in IFCT; zero-macro sentinel,,,,gather from USDA
curry leaves,111,Curry leaves,exact,1,1,G010,Curry leaves,G010,Condiments and Spices,auto,,G010,1,N,
turmeric powder haldi,82,Turmeric powder (Haldi),subset,0.8,1,G033,Turmeric powder,G033,Condiments and Spices,auto,,G033,1,N,
fresh coconut,80,Fresh coconut,subset,0.8,1,H007,"Coconut, kernel, fresh",H007,Nuts and Oil Seeds,auto,,H007,1,N,
coconut oil,72,Coconut Oil,exact,1,1,T001,Coconut oil,T001,Edible Oils and Fats,auto,,T001,1,N,
green chilli,67,Green Chillies,tokenset,0.9,8,G001;G002;G003;G004;G005;G006;G007;G008,"Chillies, green-1;Chillies, green-2;Chillies, green-3;Chillies, green-4;Chillies, green-5;Chillies, green-6;Chillies, green-7;Chillies, green - all varieties",G008,Condiments and Spices,auto,IFCT 'all varieties' aggregate,G008,8,N,
mustard seed,60,Mustard seeds,exact,1,1,H013,Mustard seeds,H013,Nuts and Oil Seeds,auto,,H013,1,N,
garlic,51,Garlic,subset,0.8,3,G011;G012;G013,"Garlic, big cloves;Garlic, small cloves;Garlic, single clove, Kashmir",,,needs_pick,"3 varieties, no IFCT aggregate row",G013,3,N,
onion,48,Onion,subset,0.8,3,D058;G017;G018,"Onion, stalk;Onion, big;Onion, small",,,needs_name_fix,candidates span 2 food groups,G017,2,N,"Check normalization for ""small"" onion"
cumin seed jeera,41,Cumin seeds (Jeera),subset,0.8,1,G025,Cumin seeds,G025,Condiments and Spices,auto,,G025,1,N,
ginger,40,Ginger,subset,0.8,2,G014;G015,"Ginger, fresh;Mango ginger",,,needs_pick,"2 varieties, no IFCT aggregate row",G014,1,N,
dry red chilli,38,Dry Red Chillies,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,auto,,G022,1,N,
red chilli powder,34,Red Chilli powder,subset,0.8,1,G022,"Chillies, red",G022,Condiments and Spices,auto,,G022,1,Y,"G022 is the whole/raw chilli entry, not a powder-specific row"
sunflower oil,30,Sunflower Oil,exact,1,1,T012,Sunflower oil,T012,Edible Oils and Fats,auto,,T012,1,N,
tomato,29,Tomato,subset,0.8,3,D074;D075;D076,"Tomato, green;Tomato, ripe, hybrid;Tomato, ripe, local",,,needs_pick,"3 varieties, no IFCT aggregate row",D075,2,N,default to hybrid
