raw_line,gold_name,pred_name,gold_qty,pred_qty,gold_unit,pred_unit,gold_state,pred_preparation,gold_size,pred_size,gold_dry_fresh,gold_notes,pred_comment,pred_purpose
1 tablespoon Ghee,Ghee,Ghee,1    ,1,tablespoon,tablespoon,,,,,,,,
2 tbsp sugar,sugar,sugar,2    ,2,tbsp,tablespoon,,,,,,,,
1 cup Water,Water,Water,1    ,1,cup,cup,,,,,,,,
1/2 teaspoon Salt,Salt,Salt, 1/2,1/2,teaspoon,teaspoon,,,,,,,,
1 cup Rice,Rice,Rice,1    ,1,cup,cup,,,,,,,,
Salt - to taste,Salt ,Salt,,,,,,,,,,to taste,to taste,
1/4 teaspoon Mustard seeds,Mustard seeds,Mustard seeds, 1/4,1/4,teaspoon,teaspoon,,,,,,,,
1/4 tablespoon pepper powder,pepper powder,pepper powder, 1/4,1/4,tablespoon,tablespoon,,,,,,,,
1/2 tablespoon coriander powder,coriander powder,coriander powder, 1/2,1/2,tablespoon,tablespoon,,,,,,,,
1/2 teaspoon turmeric powder,turmeric powder,turmeric powder, 1/2,1/2,teaspoon,teaspoon,,,,,,,,
1 sprig curry leaf,curry leaf,curry leaves,1    ,1,sprig,sprig,,,,,,,,
1/2 teaspoon Turmeric powder (Haldi),Turmeric powder (Haldi),Turmeric powder (Haldi), 1/2,1/2,teaspoon,teaspoon,,,,,,,,
1/2 tablespoon Turmeric powder (Haldi),Turmeric powder (Haldi),Turmeric powder (Haldi), 1/2,1/2,tablespoon,tablespoon,,,,,,,,
1/4 teaspoon Turmeric powder (Haldi),Turmeric powder (Haldi),Turmeric powder (Haldi), 1/4,1/4,teaspoon,teaspoon,,,,,,,,
1 tablespoon Turmeric powder (Haldi),Turmeric powder (Haldi),Turmeric powder (Haldi),1    ,1,tablespoon,tablespoon,,,,,,,,
1 teaspoon Turmeric powder (Haldi),Turmeric powder (Haldi),Turmeric powder (Haldi),1    ,1,teaspoon,teaspoon,,,,,,,,
1 sprig Curry leaves,Curry leaves,Curry leaves,1    ,1,sprig,sprig,,,,,,,,
2 sprig Curry leaves,Curry leaves,Curry leaves,2    ,2,sprig,sprigs,,,,,,,,
3 sprig Curry leaves,Curry leaves,Curry leaves,3    ,3,sprig,sprigs,,,,,,,,
1/2 teaspoon Fennel seeds (Saunf) - in case you don't have fennel seeds you could use cumin seeds,Fennel seeds (Saunf),Fennel seeds (Saunf), 1/2,1/2,teaspoon,teaspoon,,,,,,in case you don't have fennel seeds you could use cumin seeds,in case you don't have fennel seeds you could use cumin seeds,
1/2 teaspoon Whole Black Peppercorns - ground,Whole Black Peppercorns,Whole Black Peppercorns, 1/2,1/2,teaspoon,teaspoon,ground,ground,,,,,,
1/4 teaspoon Asafoetida (hing) - powder,Asafoetida (hing),Asafoetida (hing) - powder, 1/4,1/4,teaspoon,teaspoon,powder,,,,,,,
1 cup Cauliflower (gobi) - florets,Cauliflower (gobi),Cauliflower (gobi); florets,1    ,1,cup,cup,florets,,,,,,,
1/2 teaspoon Fennel - or cumin,Fennel,Fennel; cumin, 1/2,1/2,teaspoon,teaspoon,,,,,,or cumin,,
1 teaspoons Red Chilli powder - adjustable,Red Chilli powder,Red Chilli powder,1    ,1,teaspoons,teaspoon,,,,,,adjustable,adjustable,
250 grams Elephant yam (Suran/Senai/Ratalu) - peeled and chopped,Elephant yam (Suran/Senai/Ratalu),Elephant yam Ratalu,250    ,250,grams,gram,peeled and chopped,peeled and chopped,,,,,Suran/Senai,
2 Mango (Ripe) - peeled and chopped roughly (reserve the seeds),Mango ,Mango (Ripe),2    ,2,,,"ripe, peeled and chopped roughly",peeled and chopped roughly (reserve the seeds),,,,reserve the seeds,,
1 Brinjal (Baingan / Eggplant) - finely chopped,Brinjal (Baingan / Eggplant),Brinjal Eggplant,1    ,1,,,finely chopped,finely chopped,,,,,Baingan,
1/2 cup green peas - optional,green peas,green peas, 1/2,1/2,cup,cup,,,,,,optional,optional,
Coconut Oil - for shallow frying,Coconut Oil,Coconut Oil,,,,,,,,,,for shallow frying,,for shallow frying
2 Shallots - finely sliced (optional),Shallots,Shallots,2    ,2,,,finely sliced,finely sliced,,,,optional,(optional),
2 onions - peel and chop,onions,onions,2    ,2,,,peel and chop,,,,,,peel and chop,
6 Bhindi (Lady Finger/Okra) - cut into 1 inch pieces,Bhindi (Lady Finger/Okra),Bhindi Okra,6    ,6,,,cut,cut into 1 inch pieces,1 inch pieces,,,,Lady Finger,
1 cup Jaggery - powdered or brown sugar,Jaggery,Jaggery; powdered brown sugar,1    ,1,cup,cup,powdered,,,,,or brown sugar,,
2-1 / 2 cups water,water,water,2-1/2,1,cups,,,,,,,,,
2-3 Dry Red Chillies,Red Chillies,Dry Red Chillies,2-3,2,,,,,,,Dry,,,
2 Banana flower (Vazhaipoo) - ripe,Banana flower (Vazhaipoo),Banana flower (Vazhaipoo) - ripe,2    ,2,,,ripe,,,,,,,
2 cups Elephant yam (Suran/Senai/Ratalu) - scraped well and cubed to bite size,Elephant yam (Suran/Senai/Ratalu),Elephant yam Ratalu,2    ,2,cups,cup,cubed,scraped well and cubed to bite size,bite size,,,,Suran/Senai,
1 cup Drumstick Leaves (Moringa/Murungai Keerai),Drumstick Leaves (Moringa/Murungai Keerai),Drumstick Leaves,1    ,1,cup,cup,,,,,,,(Moringa/Murungai Keerai),
