recipe_id,line_no,raw_line
1,1,1 cup Ada
1,2,2 liter Milk - full cream
1,3,3/4 cup Sugar
1,4,1 tablespoon Ghee
1,5,1/2 teaspoon Cardamom Powder (Elaichi)
2,1,1-1/2 cups Curd (Dahi / Yogurt) - thick
2,2,1/2 cup Fresh coconut
2,3,1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed
2,4,4 Green Chillies
2,5,1/4 teaspoon Black pepper powder
2,6,1/3 cup Water
2,7,1/4 teaspoon Turmeric powder (Haldi)
2,8,Salt - as per your taste
2,9,1 teaspoon Coconut Oil
2,10,1/4 teaspoon Mustard seeds
2,11,1/4 teaspoon Methi Seeds (Fenugreek Seeds)
2,12,1 sprig Curry leaves
2,13,1 Dry Red Chilli
3,1,1/2 cup raw banana - chopped
3,2,1/2 cup suran - chopped
3,3,1/2 cup black gram
3,4,1/2 teaspoon turmeric powder
3,5,1/2 teaspoon red chili powder
3,6,salt - as per taste
3,7,1/2 2 tsp cumin seeds
3,8,1 cup coconut - grated
3,9,1/4 tsp whole black pepper
3,10,3 cloves garlic
3,11,1 green chili
3,12,1 tsp oil
3,13,1/2 tsp mustard
4,1,2 Sweet Potatoes - medium size
4,2,1 Onion
4,3,1/2 teaspoon Rasam Powder
4,4,Turmeric powder (Haldi) - a pinch
4,5,Asafoetida (hing) - a pinch
4,6,Salt - to taste
4,7,2 teaspoons Sunflower Oil
4,8,1 teaspoon Mustard seeds
4,9,1 teaspoon White Urad Dal (Split)
4,10,1 sprig Curry leaves
5,1,2 Banana flower (Vazhaipoo) - ripe
5,2,1 cup Coconut milk - thick
5,3,3 cups Coconut milk - thin
5,4,1/2 cup Rice - raw
5,5,1/2 cup Chana dal (Bengal Gram Dal)
5,6,1/4 Onion
5,7,2 Cardamom (Elaichi) Pods/Seeds
5,8,1 cup Sugar
5,9,3/4 teaspoon Salt - and some more for cooking the chana dal
5,10,Water - as required
6,1,500 grams Bhindi (Lady Finger/Okra) - slit into half and cut into 1 inch pieces
6,2,10 Pearl onions (Sambar Onions) - finely chopped
6,3,1/4 cup Fresh coconut - grated
6,4,2 Green Chillies - finely chopped
6,5,1 sprig Curry leaves
6,6,1/2 teaspoon Mustard seeds
6,7,1/2 teaspoon Turmeric powder (Haldi)
6,8,Salt - to taste
6,9,Sunflower Oil - for cooking
7,1,500 grams Bhindi (Lady Finger/Okra) - cut into 1 inch pieces
7,2,1 Onion - big
7,3,1 Green Chilli - slit
7,4,1 cup Coconut milk - thick
7,5,2 teaspoons Ginger - grated
